ELECTION.TYPE ELECTION;LEL.NUM DEPOT;LEL.SIGLE;LEL.LIBELLE COURT;LEL.LIBELLE LONG;CND.CIVILITE;CND.NOM;CND.PRENOM;CND.NOM PSEUDO;CND.PRENOM PSEUDO
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;PAGANI;Rémy;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;WENGER;Saliha;-;Salika
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;ZAUGG;Christian;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;HALLER;Jocelyne;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;ENILINE;Alexander;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;CRUCHON;Pablo;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;VALENTINO;Stéphanie;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;BURGERMEISTER;Jean;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;ECUYER;Hélène;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;ISSOM;David-Zacharie;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;OSSMANN;Sekna;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;NYFFELER BATOU;Françoise;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;JANUZI;Bashkim;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;ECUYER;Sébastien;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;OVETT BONDI;Davinia;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;JIMENEZ;Jean-Daniel;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;ECUYER;Annick;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;PERADOTTO;Julie;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;MANRÍQUEZ;Matías;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;ZEHFUS;Yves;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Monsieur;ZAUGG;Daniel;-;-
GC;1;EAG;ENSEMBLE À GAUCHE;ENSEMBLE À GAUCHE;Madame;PEREZ;Maria;-;Lou
