commune_no;local_no;local-commune_nom;electorat;cartes-de-vote;bulletins;nuls;q1_blancs;q1_blancs_pc;q1_valables;q1_oui;q1_oui_pc;q1_non;q1_non_pc;q1_participation;q2_blancs;q2_blancs_pc;q2_valables;q2_oui;q2_oui_pc;q2_non;q2_non_pc;q2_participation
1;1;Aire-la-Ville;718;491;491;0;25;5.09%;466;398;85.41%;68;14.59%;68.38%;6;1.22%;485;106;21.86%;379;78.14%;68.38%
2;1;Anières;1'313;869;869;0;20;2.30%;849;783;92.23%;66;7.77%;66.18%;8;0.92%;861;178;20.67%;683;79.33%;66.18%
3;1;Avully;1'100;628;626;0;47;7.51%;579;488;84.28%;91;15.72%;57.09%;8;1.28%;618;129;20.87%;489;79.13%;57.09%
4;1;Avusy;1'000;632;632;0;19;3.01%;613;555;90.54%;58;9.46%;63.20%;1;0.16%;631;119;18.86%;512;81.14%;63.20%
5;1;Bardonnex;1'371;896;896;0;40;4.46%;856;732;85.51%;124;14.49%;65.35%;7;0.78%;889;201;22.61%;688;77.39%;65.35%
6;1;Bellevue;1'574;883;883;0;36;4.08%;847;750;88.55%;97;11.45%;56.10%;3;0.34%;880;227;25.80%;653;74.20%;56.10%
7;1;Bernex;6'265;4'048;4'046;0;217;5.36%;3'829;3'380;88.27%;449;11.73%;64.61%;32;0.79%;4'014;755;18.81%;3'259;81.19%;64.61%
8;1;Carouge;11'088;6'182;6'182;0;313;5.06%;5'869;5'143;87.63%;726;12.37%;55.75%;40;0.65%;6'142;1'433;23.33%;4'709;76.67%;55.75%
9;1;Cartigny;604;417;417;0;25;6.00%;392;358;91.33%;34;8.67%;69.04%;3;0.72%;414;65;15.70%;349;84.30%;69.04%
10;1;Céligny;408;231;231;0;8;3.46%;223;203;91.03%;20;8.97%;56.62%;1;0.43%;230;52;22.61%;178;77.39%;56.62%
11;1;Chancy;933;487;487;0;26;5.34%;461;388;84.16%;73;15.84%;52.20%;6;1.23%;481;137;28.48%;344;71.52%;52.20%
12;1;Chêne-Bougeries-Centre;5'193;3'084;3'084;0;121;3.92%;2'963;2'642;89.17%;321;10.83%;59.39%;21;0.68%;3'063;714;23.31%;2'349;76.69%;59.39%
12;2;Conches;1'087;704;704;0;25;3.55%;679;614;90.43%;65;9.57%;64.77%;8;1.14%;696;129;18.53%;567;81.47%;64.77%
13;1;Chêne-Bourg;4'359;2'372;2'371;0;117;4.93%;2'254;1'931;85.67%;323;14.33%;54.42%;14;0.59%;2'357;612;25.97%;1'745;74.03%;54.42%
