entity,value,synonyms
Conseiller-ère d'Etat,WENGER Saliha (Salika),wenger:saliha:salika
Conseiller-ère d'Etat,HALLER Jocelyne,haller:jocelyne
Conseiller-ère d'Etat,EMERY-TORRACINTA Anne,emery-torracinta:anne
Conseiller-ère d'Etat,APOTHÉLOZ Thierry,apothéloz:thierry
Conseiller-ère d'Etat,SALERNO Sandrine,salerno:sandrine
Conseiller-ère d'Etat,HODGERS Antonio,hodgers:antonio
Conseiller-ère d'Etat,DE CHASTONAY Marjorie,de:chastonay:marjorie
Conseiller-ère d'Etat,ROCHAT Yvan,rochat:yvan
Conseiller-ère d'Etat,POGGIA Mauro,poggia:mauro
Conseiller-ère d'Etat,ROCH Ana Belen,roch:ana:belen
Conseiller-ère d'Etat,SORMANNI Daniel,sormanni:daniel
Conseiller-ère d'Etat,MAUDET Pierre,maudet:pierre
Conseiller-ère d'Etat,DAL BUSCO Serge,dal:busco:serge
Conseiller-ère d'Etat,BARTHASSAT Luc,barthassat:luc
Conseiller-ère d'Etat,FONTANET Nathalie,fontanet:nathalie
Conseiller-ère d'Etat,DE SENARCLENS Alexandre,de:senarclens:alexandre
Conseiller-ère d'Etat,AMBERGER Axel,amberger:axel
Conseiller-ère d'Etat,BURGERMEISTER Jean,burgermeister:jean
Conseiller-ère d'Etat,NIDEGGER Yves,nidegger:yves
Conseiller-ère d'Etat,BLÄSI Thomas,bläsi:thomas
Conseiller-ère d'Etat,FLOREY Stéphane,florey:stéphane
Conseiller-ère d'Etat,STAUFFER Eric,stauffer:eric
Conseiller-ère d'Etat,ZACHARIAS Ronald,zacharias:ronald
Conseiller-ère d'Etat,CRETEGNY Willy,cretegny:willy
Conseiller-ère d'Etat,AYMON Paul (dit Paul Sierre),aymon:paul:paul:sierre
Conseiller-ère d'Etat,ORSINI Magali,orsini:magali
Conseiller-ère d'Etat,GAUTHIER Pierre,gauthier:pierre
Conseiller-ère d'Etat,VIDONNE Thierry,vidonne:thierry
Conseiller-ère d'Etat,LEITNER André,leitner:andré
Conseiller-ère d'Etat,FONTANA Jérôme,fontana:jérôme
Conseiller-ère d'Etat,AMSLER Susanne,amsler:susanne
Député-e,PAGANI Rémy,pagani:rémy
Député-e,WENGER Saliha (Salika),wenger:saliha:salika
Député-e,ZAUGG Christian,zaugg:christian
Député-e,HALLER Jocelyne,haller:jocelyne
Député-e,EMERY-TORRACINTA Anne,emery-torracinta:anne
Député-e,APOTHÉLOZ Thierry,apothéloz:thierry
Député-e,SALERNO Sandrine,salerno:sandrine
Député-e,HODGERS Antonio,hodgers:antonio
Député-e,DE CHASTONAY Marjorie,de:chastonay:marjorie
Député-e,ROCHAT Yvan,rochat:yvan
Député-e,CRUCHON Pablo,cruchon:pablo
Député-e,POGGIA Mauro,poggia:mauro
Député-e,ROCH Ana Belen,roch:ana:belen
Député-e,SORMANNI Daniel,sormanni:daniel
Député-e,MAUDET Pierre,maudet:pierre
Député-e,DAL BUSCO Serge,dal:busco:serge
Député-e,BARTHASSAT Luc,barthassat:luc
Député-e,FONTANET Nathalie,fontanet:nathalie
Député-e,DE SENARCLENS Alexandre,de:senarclens:alexandre
Député-e,ENILINE Alexander,eniline:alexander
Député-e,JELK Andrée (JELK-PEILA),jelk:andrée:jelk-peila
Député-e,ECUYER Hélène,ecuyer:hélène
Député-e,ISSOM David-Zacharie,issom:david-zacharie
Député-e,OSSMANN Sekna,ossmann:sekna
Député-e,NYFFELER BATOU Françoise,nyffeler:batou:françoise
Député-e,JANUZI Bashkim,januzi:bashkim
Député-e,ECUYER Sébastien,ecuyer:sébastien
Député-e,OVETT BONDI Davinia,ovett:bondi:davinia
Député-e,JIMENEZ Jean-Daniel,jimenez:jean-daniel
Député-e,ECUYER Annick,ecuyer:annick
Député-e,PERADOTTO Julie,peradotto:julie
Député-e,MANRÍQUEZ Matías,manríquez:matías
Député-e,ZEHFUS Yves,zehfus:yves
Député-e,ZAUGG Daniel,zaugg:daniel
Député-e,PEREZ Maria (Lou),perez:maria:lou
Député-e,SCHNEBLI Tobias (Tobia),schnebli:tobias:tobia
Député-e,MISSOH DZIKUNOO Massan,missoh:dzikunoo:massan
Député-e,MARTENOT Aude,martenot:aude
Député-e,VANEK Pierre,vanek:pierre
Député-e,CLEMENT Patrice,clement:patrice
Député-e,VALENTINO Stéphanie,valentino:stéphanie
Député-e,PREZIOSO BATOU Stefania,prezioso:batou:stefania
Député-e,ESAKI KABEYA Elisabeth,esaki:kabeya:elisabeth
Député-e,LANGFORD Pia,langford:pia
Député-e,VINCENT Michel,vincent:michel
Député-e,RUMPCZYK Delphine,rumpczyk:delphine
Député-e,SALM DARBOE Karijn,salm:darboe:karijn
Député-e,ANDENMATTEN David,andenmatten:david
Député-e,SCHMID Audrey,schmid:audrey
Député-e,GUEVARA Francisco,guevara:francisco
Député-e,BATOU Jean,batou:jean
Député-e,STEBLER GUENAT Henriette,stebler:guenat:henriette
Député-e,EDJEOU Corinne (BUNTSCHU),edjeou:corinne:buntschu
Député-e,MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,meierhofer:manyagoua:boumtché:charlotte
Député-e,BAUD Olivier,baud:olivier
Député-e,ZBINDEN Livia,zbinden:livia
Député-e,ROSSEL Pascal,rossel:pascal
Député-e,BAYENET Pierre,bayenet:pierre
Député-e,BAILAT Ariane,bailat:ariane
Député-e,MAILLEFER Denise,maillefer:denise
Député-e,ZAUGG Cecilia,zaugg:cecilia
Député-e,BLANCHET Marjo,blanchet:marjo
Député-e,MARTI Werner,marti:werner
Député-e,KHAOUCHI Corinne,khaouchi:corinne
Député-e,BOLAY ROBIN Stéphanie,bolay:robin:stéphanie
Député-e,BLANCO Luis,blanco:luis
Député-e,MAMIN François,mamin:françois
Député-e,DE MELO MARCELINO Amélia,de:melo:marcelino:amélia
Député-e,BOUZID Mohamed,bouzid:mohamed
Député-e,BOUJEMAA Sanae,boujemaa:sanae
Député-e,GALLAND Eduardo,galland:eduardo
Député-e,BURGERMEISTER Jean,burgermeister:jean
Député-e,CASTRO Gloria,castro:gloria
Député-e,CAMELO Alfredo,camelo:alfredo
Député-e,NOETZLIN Simon,noetzlin:simon
Député-e,DURAKU Fitore,duraku:fitore
Député-e,DURAKU Edon,duraku:edon
Député-e,FERREIRA Elisabeth,ferreira:elisabeth
Député-e,PERLER Frédérique,perler:frédérique
Député-e,BUSCHBECK Mathias,buschbeck:mathias
Député-e,LEFORT François,lefort:françois
Député-e,LEONELLI Katia,leonelli:katia
Député-e,MACCHIAVELLI Marta (Marta Julia),macchiavelli:marta:marta:julia
Député-e,MAKOSSO William,makosso:william
Député-e,MARTIN David,martin:david
Député-e,MÜLLER SONTAG Corinne,müller:sontag:corinne
Député-e,NICOLET-DIT-FELIX Julien,nicolet-dit-felix:julien
Député-e,NOËL Philippe,noël:philippe
Député-e,ORIOLO Alessandra,oriolo:alessandra
Député-e,OZTÜRK Dilara,oztürk:dilara
Député-e,PASQUIER Isabelle (PASQUIER-EICHENBERGER),pasquier:isabelle:pasquier-eichenberger
Député-e,POGET Philippe,poget:philippe
Député-e,QUIJANO GARCIA Maria (Maria José),quijano:garcia:maria:maria:josé
Député-e,RODRIGUEZ Mario,rodriguez:mario
Député-e,ROGG Catharina (Olowine),rogg:catharina:olowine
Député-e,ROSSIAUD Jean,rossiaud:jean
Député-e,SAA BAUD Yubitza,saa:baud:yubitza
Député-e,SCHALK Antoine,schalk:antoine
Député-e,SCHAUFELBERGER Esther,schaufelberger:esther
Député-e,SORDET Adrienne,sordet:adrienne
Député-e,TALEGHANI Majid,taleghani:majid
Député-e,TCHAMKERTEN Jolanka,tchamkerten:jolanka
Député-e,TIGUEMOUNINE Sabine,tiguemounine:sabine
Député-e,TINGUELY Dominique,tinguely:dominique
Député-e,TSCHUDI Paloma,tschudi:paloma
Député-e,VAN WOERDEN Wendy,van:woerden:wendy
Député-e,VEIGA ARIAS Damian (VEIGA LÖFFEL),veiga:arias:damian:veiga:löffel
Député-e,WISARD PRADO Leyma,wisard:prado:leyma
Député-e,YUNUS EBENER Mariam (Maryam),yunus:ebener:mariam:maryam
Député-e,AMATO Maurice,amato:maurice
Député-e,AMSELLEM Benedicte (AMSELLEM-OSSIPOW),amsellem:benedicte:amsellem-ossipow
Député-e,ARDIZZONE Ivan,ardizzone:ivan
Député-e,AZZABI Omar,azzabi:omar
Député-e,BÄNZIGER Ruth,bänziger:ruth
Député-e,BARCIELA VILLAR Ana,barciela:villar:ana
Député-e,BAVAREL Christian,bavarel:christian
Député-e,BOCCARD Damien (Damien Baptiste),boccard:damien:damien:baptiste
Député-e,BONNY Didier,bonny:didier
Député-e,BONVIN BONFANTI Anne,bonvin:bonfanti:anne
Député-e,BUCHER Denis,bucher:denis
Député-e,BUENZOD Christian,buenzod:christian
Député-e,BUI Aurore,bui:aurore
Député-e,CABITZA Marina,cabitza:marina
Député-e,CALAME Boris,calame:boris
Député-e,CALAME Fabrice,calame:fabrice
Député-e,CHAUDIEU Anne,chaudieu:anne
Député-e,CONCHA Celtia,concha:celtia
Député-e,CORPATAUX Laurence,corpataux:laurence
Député-e,DALPHIN Marc,dalphin:marc
Député-e,DE FELICE Nicolas,de:felice:nicolas
Député-e,DE MATTEIS Yves,de:matteis:yves
Député-e,DE ROUGEMONT Philippe,de:rougemont:philippe
Député-e,DESBIOLLES Sophie,desbiolles:sophie
Député-e,DESCOMBES Isabelle,descombes:isabelle
Député-e,DUJOUX Valentin,dujoux:valentin
Député-e,DUPUIS Renaud,dupuis:renaud
Député-e,EBENER Christophe,ebener:christophe
Député-e,ECKERT Pierre,eckert:pierre
Député-e,FISCHER Fabienne,fischer:fabienne
Député-e,FREYMOND Pascal,freymond:pascal
Député-e,GEOFFROY Elias,geoffroy:elias
Député-e,GOMEZ Alfonso,gomez:alfonso
Député-e,HAAS François,haas:françois
Député-e,HARTMANN Esther,hartmann:esther
Député-e,HEBERLEIN SIMONETT Claudia,heberlein:simonett:claudia
Député-e,HERREN Yves,herren:yves
Député-e,KHAMIS VANNINI Uzma,khamis:vannini:uzma
Député-e,KLOPFENSTEIN BROGGINI Delphine,klopfenstein:broggini:delphine
Député-e,KÜNDIG Ralph,kündig:ralph
Député-e,LATOUR Sabine,latour:sabine
Député-e,DE SAINTE-MARIE Romain,de:sainte-marie:romain
Député-e,KAST Carole-Anne,kast:carole-anne
Député-e,WENGER Thomas,wenger:thomas
Député-e,MARTI Caroline,marti:caroline
Député-e,BANDLER Marko,bandler:marko
Député-e,MOYARD MIZRAHI Salima,moyard:mizrahi:salima
Député-e,DANDRÈS Christian,dandrès:christian
Député-e,VERISSIMO DE FREITAS Helena,verissimo:de:freitas:helena
Député-e,CARASSO Grégoire,carasso:grégoire
Député-e,SOBANEK Marion,sobanek:marion
Député-e,THÉVOZ Sylvain,thévoz:sylvain
Député-e,CONTI Jennifer,conti:jennifer
Député-e,STAUB Martin,staub:martin
Député-e,VALIQUER GRECUCCIO Nicole,valiquer:grecuccio:nicole
Député-e,RIELLE Jean Charles,rielle:jean:charles
Député-e,GAVILANES Amanda,gavilanes:amanda
Député-e,MIZRAHI Cyril,mizrahi:cyril
Député-e,CASARES Maria Jesus,casares:maria:jesus
Député-e,POMATTO Michel,pomatto:michel
Député-e,STRASSER Léna,strasser:léna
Député-e,KOKOT Guilhem,kokot:guilhem
Député-e,ROMANO Maria (Maria Vittoria),romano:maria:maria:vittoria
Député-e,MUSSA Ahmed (Youniss),mussa:ahmed:youniss
Député-e,OSMANI Xhevrie,osmani:xhevrie
Député-e,ESTEBAN Diego,esteban:diego
Député-e,BAILLON Glenna,baillon:glenna
Député-e,EYA NCHAMA Cruz Melchor,eya:nchama:cruz:melchor
