entity,value,synonyms
Depute-e,PAGANI Rémy,PAGANI:Rémy
Depute-e,WENGER Saliha,WENGER:Saliha:Salika
Depute-e,ZAUGG Christian,ZAUGG:Christian
Depute-e,HALLER Jocelyne,HALLER:Jocelyne
Depute-e,ENILINE Alexander,ENILINE:Alexander
Depute-e,CRUCHON Pablo,CRUCHON:Pablo
Depute-e,VALENTINO Stéphanie,VALENTINO:Stéphanie
Depute-e,BURGERMEISTER Jean,BURGERMEISTER:Jean
Depute-e,ECUYER Hélène,ECUYER:Hélène
Depute-e,ISSOM David-Zacharie,ISSOM:David-Zacharie
Depute-e,OSSMANN Sekna,OSSMANN:Sekna
Depute-e,NYFFELER BATOU Françoise,NYFFELER:BATOU:Françoise
Depute-e,JANUZI Bashkim,JANUZI:Bashkim
Depute-e,ECUYER Sébastien,ECUYER:Sébastien
Depute-e,OVETT BONDI Davinia,OVETT:BONDI:Davinia
Depute-e,JIMENEZ Jean-Daniel,JIMENEZ:Jean-Daniel
Depute-e,ECUYER Annick,ECUYER:Annick
Depute-e,PERADOTTO Julie,PERADOTTO:Julie
Depute-e,MANRÍQUEZ Matías,MANRÍQUEZ:Matías
Depute-e,ZEHFUS Yves,ZEHFUS:Yves
Depute-e,ZAUGG Daniel,ZAUGG:Daniel
Depute-e,PEREZ Maria,PEREZ:Maria:Lou
Depute-e,SCHNEBLI Tobias,SCHNEBLI:Tobias:Tobia
Depute-e,MISSOH DZIKUNOO Massan,MISSOH:DZIKUNOO:Massan
Depute-e,MARTENOT Aude,MARTENOT:Aude
Depute-e,VANEK Pierre,VANEK:Pierre
Depute-e,CLEMENT Patrice,CLEMENT:Patrice
Depute-e,PREZIOSO BATOU Stefania,PREZIOSO:BATOU:Stefania
Depute-e,ESAKI KABEYA Elisabeth,ESAKI:KABEYA:Elisabeth
Depute-e,LANGFORD Pia,LANGFORD:Pia
Depute-e,VINCENT Michel,VINCENT:Michel
Depute-e,RUMPCZYK Delphine,RUMPCZYK:Delphine
Depute-e,SALM DARBOE Karijn,SALM:DARBOE:Karijn
Depute-e,ANDENMATTEN David,ANDENMATTEN:David
Depute-e,SCHMID Audrey,SCHMID:Audrey
Depute-e,GUEVARA Francisco,GUEVARA:Francisco
Depute-e,BATOU Jean,BATOU:Jean
Depute-e,STEBLER GUENAT Henriette,STEBLER:GUENAT:Henriette
Depute-e,EDJEOU Corinne,EDJEOU:Corinne:BUNTSCHU
Depute-e,ZAUGG Cecilia,ZAUGG:Cecilia
Depute-e,BAUD Olivier,BAUD:Olivier
Depute-e,ZBINDEN Livia,ZBINDEN:Livia
Depute-e,ROSSEL Pascal,ROSSEL:Pascal
Depute-e,BAYENET Pierre,BAYENET:Pierre
Depute-e,BAILAT Ariane,BAILAT:Ariane
Depute-e,MAILLEFER Denise,MAILLEFER:Denise
Depute-e,MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,MEIERHOFER:MANYAGOUA:BOUMTCHÉ:Charlotte
Depute-e,BLANCHET Marjo,BLANCHET:Marjo
Depute-e,MARTI Werner,MARTI:Werner
Depute-e,KHAOUCHI Corinne,KHAOUCHI:Corinne
Depute-e,BOLAY ROBIN Stéphanie,BOLAY:ROBIN:Stéphanie
Depute-e,BLANCO Luis,BLANCO:Luis
Depute-e,MAMIN François,MAMIN:François
Depute-e,DE MELO MARCELINO Amélia,DE:MELO:MARCELINO:Amélia
Depute-e,BOUZID Mohamed,BOUZID:Mohamed
Depute-e,BOUJEMAA Sanae,BOUJEMAA:Sanae
Depute-e,GALLAND Eduardo,GALLAND:Eduardo
Depute-e,JELK Andrée,JELK:Andrée:JELK-PEILA
Depute-e,CASTRO Gloria,CASTRO:Gloria
Depute-e,CAMELO Alfredo,CAMELO:Alfredo
Depute-e,NOETZLIN Simon,NOETZLIN:Simon
Depute-e,DURAKU Fitore,DURAKU:Fitore
Depute-e,DURAKU Edon,DURAKU:Edon
Depute-e,FERREIRA Elisabeth,FERREIRA:Elisabeth
Depute-e,CHRISTINAT Jean-David,CHRISTINAT:Jean-David
Depute-e,GERARDO FÉLIZ GRUBI Ynes,GERARDO:FÉLIZ:GRUBI:Ynes
Depute-e,CARLO Xavier,CARLO:Xavier
Depute-e,SAHIN Gazi,SAHIN:Gazi
Depute-e,HODGERS Antonio,HODGERS:Antonio
Depute-e,DE CHASTONAY Marjorie,DE:CHASTONAY:Marjorie
Depute-e,ROCHAT Yvan,ROCHAT:Yvan
Depute-e,PERLER Frédérique,PERLER:Frédérique
Depute-e,BUSCHBECK Mathias,BUSCHBECK:Mathias
Depute-e,LEFORT François,LEFORT:François
Depute-e,LEONELLI Katia,LEONELLI:Katia
Depute-e,MACCHIAVELLI Marta,MACCHIAVELLI:Marta:Marta:Julia
Depute-e,MAKOSSO William,MAKOSSO:William
Depute-e,MARTIN David,MARTIN:David
Depute-e,MÜLLER SONTAG Corinne,MÜLLER:SONTAG:Corinne
Depute-e,NICOLET-DIT-FELIX Julien,NICOLET-DIT-FELIX:Julien
Depute-e,NOËL Philippe,NOËL:Philippe
Depute-e,ORIOLO Alessandra,ORIOLO:Alessandra
Depute-e,OZTÜRK Dilara,OZTÜRK:Dilara
Depute-e,PASQUIER Isabelle,PASQUIER:Isabelle:PASQUIER-EICHENBERGER
Depute-e,POGET Philippe,POGET:Philippe
Depute-e,QUIJANO GARCIA Maria,QUIJANO:GARCIA:Maria:Maria:José
Depute-e,RODRIGUEZ Mario,RODRIGUEZ:Mario
Depute-e,ROGG Catharina,ROGG:Catharina:Olowine
Depute-e,ROSSIAUD Jean,ROSSIAUD:Jean
Depute-e,SAA BAUD Yubitza,SAA:BAUD:Yubitza
Depute-e,SCHALK Antoine,SCHALK:Antoine
Depute-e,SCHAUFELBERGER Esther,SCHAUFELBERGER:Esther
Depute-e,SORDET Adrienne,SORDET:Adrienne
Depute-e,TALEGHANI Majid,TALEGHANI:Majid
Depute-e,TCHAMKERTEN Jolanka,TCHAMKERTEN:Jolanka
Depute-e,TIGUEMOUNINE Sabine,TIGUEMOUNINE:Sabine
Depute-e,TINGUELY Dominique,TINGUELY:Dominique
Depute-e,TSCHUDI Paloma,TSCHUDI:Paloma
Depute-e,VAN WOERDEN Wendy,VAN:WOERDEN:Wendy
