question,filter1,filterParam1,filter2,filterParam2,filter3,filterParam3
Combien,les,Nom du parti,gagné,sièges,au niveau cantonal,
Combien,le parti des,Nom du parti,gagné,voix,dans la commune de…,
Combien,le parti,Nom du parti,gagné,suffrages,dans le local de vote ….,
Combien,la liste,Nom du parti,gagné,,,
Combien,[….],Nom du parti,gagné,,,
Combien,les,Nom du parti,perdu,sièges,au niveau cantonal,
Combien,le parti des,Nom du parti,perdu,voix,dans la commune de…,
Combien,le parti,Nom du parti,perdu,suffrages,dans le local de vote ….,
Combien,la liste,Nom du parti,perdu,,,
Combien,[….],Nom du parti,perdu,,,
Combien,les,Nom du parti,obtenu,bulletins compacts,au niveau cantonal,
Combien,le parti des,Nom du parti,obtenu,bulletins modifiés,dans la commune de…,
Combien,le parti,Nom du parti,obtenu,bulletins,dans le local de vote ….,
Combien,la liste,Nom du parti,obtenu,suffrages,dans le parti…,
Combien,[….],Nom du parti,obtenu,sièges,sur la liste…,
Combien,[….],Nom du parti,obtenu,voix,,
Combien,candidat,Nom du candidat,obtenu,bulletins compacts,au niveau cantonal,
Combien,candidat,Nom du candidat,obtenu,bulletins modifiés,dans la commune de…,
Combien,candidat,Nom du candidat,obtenu,bulletins,dans le local de vote ….,
Combien,candidat,Nom du candidat,obtenu,suffrages,dans le parti…,
Combien,candidat,Nom du candidat,obtenu,voix,sur la liste…,
Combien de fois,candidat,Nom du candidat,été biffé,,au niveau cantonal,
Combien de fois,candidat,Nom du candidat,été biffée,,dans la commune de…,
Combien de fois,candidat,Nom du candidat,été biffée,,dans le local de vote ….,
Combien de fois,candidat,Nom du candidat,été rajouté,,au niveau cantonal,
Combien de fois,candidat,Nom du candidat,été rajoutée,,dans la commune de…,
Combien de fois,candidat,Nom du candidat,été rajoutée,,dans le local de vote ….,
Combien de fois,candidat,Nom du candidat,été rajoutée,,dans le parti…,
Combien de fois,candidat,Nom du candidat,été rajoutée,,sur la liste….,
,candidat,Nom du candidat,élu-e,,,
,candidat,Nom du candidat,non-élu-e,,,
,candidat,Nom du candidat,viennent-ensuite,,,
Quel est le rang,candidat,Nom du candidat,élu-e,,au niveau cantonal,
Quel est le rang,candidat,Nom du candidat,non-élu-e,,dans la commune de…,
Quel est le rang,candidat,Nom du candidat,viennent-ensuite,,dans le local de vote ….,
Quel est le rang,candidat,Nom du candidat,viennent-ensuite,,sur la liste….,
Quel est le rang,candidat,Nom du candidat,viennent-ensuite,,dans le parti…,
Qui,est,élu,,,au niveau cantonal,
Qui,est,non-élu,,,dans le parti…,
Qui,est,viennent-ensuite,,,sur la liste….,
Qui ,sont ,les N premiers,élu-e-s,,au niveau cantonal,
Qui ,sont ,les N premiers,viennent-ensuite,,dans le parti…,
Qui ,sont ,les N premiers,,,sur la liste….,
Qui,est ,le candidat,plus jeune,,au niveau cantonal,
Qui,est ,la candidate,plus vieux,,sur la liste….,
Qui,est ,l'élu,plus vieille,,,
Qui,est ,l'élue,,,,
Qui ,sont,les femmes élues,,,au niveau cantonal,
Qui ,sont,les hommes élus,,,sur la liste….,
Quelles,sont,les listes,apparentées,,,
