entity,value,synonyms
Conseiller_ere_d_Etat,EMERY-TORRACINTA Anne,Anne:EMERY-TORRACINTA
Conseiller_ere_d_Etat,APOTHÉLOZ Thierry,Thierry:APOTHÉLOZ
Conseiller_ere_d_Etat,SALERNO Sandrine,Sandrine:SALERNO
Conseiller_ere_d_Etat,HODGERS Antonio,Antonio:HODGERS
Conseiller_ere_d_Etat,DE CHASTONAY Marjorie,Marjorie:DE:CHASTONAY
Conseiller_ere_d_Etat,ROCHAT Yvan,Yvan:ROCHAT
Conseiller_ere_d_Etat,HALLER Jocelyne,Jocelyne:HALLER
Conseiller_ere_d_Etat,WENGER Saliha,Saliha:WENGER:Salika
Conseiller_ere_d_Etat,BURGERMEISTER Jean,Jean:BURGERMEISTER
Conseiller_ere_d_Etat,POGGIA Mauro,Mauro:POGGIA
Conseiller_ere_d_Etat,ROCH Ana Belen,Ana:Belen:ROCH
Conseiller_ere_d_Etat,SORMANNI Daniel,Daniel:SORMANNI
Conseiller_ere_d_Etat,MAUDET Pierre,Pierre:MAUDET
Conseiller_ere_d_Etat,DAL BUSCO Serge,Serge:DAL:BUSCO
Conseiller_ere_d_Etat,BARTHASSAT Luc,Luc:BARTHASSAT
Conseiller_ere_d_Etat,FONTANET Nathalie,Nathalie:FONTANET
Conseiller_ere_d_Etat,DE SENARCLENS Alexandre,Alexandre:DE:SENARCLENS
Conseiller_ere_d_Etat,AMBERGER Axel,Axel:AMBERGER
Conseiller_ere_d_Etat,AYMON Paul,Paul:AYMON:dit:Paul:Sierre
Conseiller_ere_d_Etat,NIDEGGER Yves,Yves:NIDEGGER
Conseiller_ere_d_Etat,BLÄSI Thomas,Thomas:BLÄSI
Conseiller_ere_d_Etat,FLOREY Stéphane,Stéphane:FLOREY
Conseiller_ere_d_Etat,CRETEGNY Willy,Willy:CRETEGNY
Conseiller_ere_d_Etat,ORSINI Magali,Magali:ORSINI
Conseiller_ere_d_Etat,GAUTHIER Pierre,Pierre:GAUTHIER
Conseiller_ere_d_Etat,STAUFFER Eric,Eric:STAUFFER
Conseiller_ere_d_Etat,ZACHARIAS Ronald,Ronald:ZACHARIAS
Conseiller_ere_d_Etat,VIDONNE Thierry,Thierry:VIDONNE
Conseiller_ere_d_Etat,LEITNER André,André:LEITNER
Conseiller_ere_d_Etat,FONTANA Jérôme,Jérôme:FONTANA
Conseiller_ere_d_Etat,AMSLER Susanne,Susanne:AMSLER
