text,choices,source,createdOn,userId,sessionId,botId,channelType,channelId,payload
bonjour,,USER,2018-05-05T12:09:37.420Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""bonjour"",""type"":""text""}"
"Bonjour et bienvenue
J'ai ?t? d?velopp? par quelques passionn?s, pour vous donner les r?sultats des votations et ?lections (r?sultats).
Mes informations sont principalement destin?es aux citoyennes et citoyens genevois",,BOT,2018-05-05T12:09:40.806Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Bonjour et bienvenue\nJ'ai ?t? d?velopp? par quelques passionn?s, pour vous donner les r?sultats des votations et ?lections (r?sultats).\nMes informations sont principalement destin?es aux citoyennes et citoyens genevois"",""type"":""text""}"
"Comment puis-je vous aider ?
(vous pouvez toujours taper ""menu"" pour obtenir de l'aide)",,BOT,2018-05-05T12:09:40.806Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Comment puis-je vous aider ?\n(vous pouvez toujours taper \""menu\"" pour obtenir de l'aide)"",""type"":""text""}"
r?sultats,,USER,2018-05-05T12:09:48.723Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""r?sultats"",""type"":""text""}"
"Les r?sultats anticip?s du 26.04.18 ? 19:18 de l'?lection au Conseil d'Etat sont: 
(par ordre de suffrages)

POGGIA Mauro: 476
DAL BUSCO Serge: 409
BARTHASSAT Luc: 342
HODGERS Antonio: 275
EMERY-TORRACINTA Anne: 208
APOTH?LOZ Thierry: 140
",,BOT,2018-05-05T12:09:49.912Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Les r?sultats anticip?s du 26.04.18 ? 19:18 de l'?lection au Conseil d'Etat sont: \n(par ordre de suffrages)\n\nPOGGIA Mauro: 476\nDAL BUSCO Serge: 409\nBARTHASSAT Luc: 342\nHODGERS Antonio: 275\nEMERY-TORRACINTA Anne: 208\nAPOTH?LOZ Thierry: 140\n"",""type"":""text""}"
"Viennent ensuite :
FONTANET Nathalie: 75
NIDEGGER Yves: 75
AYMON Paul (dit Paul Sierre): 74
CRETEGNY Willy: 74
HALLER Jocelyne: 74
",,BOT,2018-05-05T12:09:49.912Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Viennent ensuite :\nFONTANET Nathalie: 75\nNIDEGGER Yves: 75\nAYMON Paul (dit Paul Sierre): 74\nCRETEGNY Willy: 74\nHALLER Jocelyne: 74\n"",""type"":""text""}"
participation,,USER,2018-05-05T12:10:03.182Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""participation"",""type"":""text""}"
"Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... ",,BOT,2018-05-05T12:10:04.622Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... "",""type"":""text""}"
Si vous avez besoin d'aide demandez-moi le 'menu' :-),,BOT,2018-05-05T12:10:04.622Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Si vous avez besoin d'aide demandez-moi le 'menu' :-)"",""type"":""text""}"
Comment puis-je vous aider?,r?sultats|par candidat|participation,BOT,2018-05-05T12:10:04.622Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Comment puis-je vous aider?"",""type"":""text"",""actions"":[{""postback"":{""action"":""resultsStart"",""state"":""contextMenu""},""label"":""r?sultats"",""type"":""postback""},{""postback"":{""action"":""resultsByCandidateStart"",""state"":""contextMenu""},""label"":""par candidat"",""type"":""postback""},{""postback"":{""action"":""participationRateStart"",""state"":""contextMenu""},""label"":""participation"",""type"":""postback""}]}"
