entity,value,synonyms
Candidat,Pagani Rémy,Rémy Pagani:Remy Pagani
Candidat,Wenger Saliha,Saliha Wenger:Salika Wenger:Saliha Wenger:Salika Wenger
Candidat,Zaugg Christian,Christian Zaugg:Christian Zaugg
Candidat,Haller Jocelyne,Jocelyne Haller:Jocelyne Haller
Candidat,Eniline Alexander,Alexander Eniline:Alexander Eniline
Candidat,Cruchon Pablo,Pablo Cruchon:Pablo Cruchon
Candidat,Valentino Stéphanie,Stéphanie Valentino:Stephanie Valentino
Candidat,Burgermeister Jean,Jean Burgermeister:Jean Burgermeister
Candidat,Ecuyer Hélène,Hélène Ecuyer:Helene Ecuyer
Candidat,Issom David-Zacharie,David-Zacharie Issom:David Zacharie Issom
Candidat,Ossmann Sekna,Sekna Ossmann:Sekna Ossmann
Candidat,Nyffeler Batou Françoise,Françoise Nyffeler Batou:Francoise Nyffeler Batou
Candidat,Januzi Bashkim,Bashkim Januzi:Bashkim Januzi
Candidat,Ecuyer Sébastien,Sébastien Ecuyer:Sebastien Ecuyer
Candidat,Ovett Bondi Davinia,Davinia Ovett Bondi:Davinia Ovett Bondi
Candidat,Jimenez Jean-Daniel,Jean-Daniel Jimenez:Jean Daniel Jimenez
Candidat,Ecuyer Annick,Annick Ecuyer:Annick Ecuyer
Candidat,Peradotto Julie,Julie Peradotto:Julie Peradotto
Candidat,Manríquez Matías,Matías Manríquez:Matias Manriquez
Candidat,Zehfus Yves,Yves Zehfus:Yves Zehfus
Candidat,Zaugg Daniel,Daniel Zaugg:Daniel Zaugg
Candidat,Perez Maria,Maria Perez:Lou Perez:Maria Perez:Lou Perez
Candidat,Schnebli Tobias,Tobias Schnebli:Tobia Schnebli:Tobias Schnebli:Tobia Schnebli
Candidat,Missoh Dzikunoo Massan,Massan Missoh Dzikunoo:Massan Missoh Dzikunoo
Candidat,Martenot Aude,Aude Martenot:Aude Martenot
Candidat,Vanek Pierre,Pierre Vanek:Pierre Vanek
Candidat,Clement Patrice,Patrice Clement:Patrice Clement
Candidat,Prezioso Batou Stefania,Stefania Prezioso Batou:Stefania Prezioso Batou
Candidat,Esaki Kabeya Elisabeth,Elisabeth Esaki Kabeya:Elisabeth Esaki Kabeya
Candidat,Langford Pia,Pia Langford:Pia Langford
Candidat,Vincent Michel,Michel Vincent:Michel Vincent
Candidat,Rumpczyk Delphine,Delphine Rumpczyk:Delphine Rumpczyk
Candidat,Salm Darboe Karijn,Karijn Salm Darboe:Karijn Salm Darboe
Candidat,Andenmatten David,David Andenmatten:David Andenmatten
