value,entity,synonyms
SOC,ListeElectorale,Les Socialistes
VERT,ListeElectorale,Les Verts
EAG,ListeElectorale,Ensemble À Gauche
MCG,ListeElectorale,MCG
ENT,ListeElectorale,PLR - PDC - Entente
RIEN,ListeElectorale,Rien Pas Grand Chose
SAN,ListeElectorale,Santé
UDC,ListeElectorale,UDC
PROM,ListeElectorale,Prospérité Maîtrisée
LPG,ListeElectorale,La Liste Pour Genève
GEMA,ListeElectorale,Genève En Marche
PBD,ListeElectorale,PBD Genève
VERL,ListeElectorale,Vert'Libéraux
PLR,ListeElectorale,Libéraux-Radicaux
PDC,ListeElectorale,Démocrate-Chrétien
FEM,ListeElectorale,Laliste-Femmes 2018
LEE,ListeElectorale,Égalité Et Équité
