value,entity,synonyms
Aire-la-Ville,LocalDeVote,Aire-la-Ville:0100
Anières,LocalDeVote,Anières:0200
Avully,LocalDeVote,Avully:0300
Avusy,LocalDeVote,Avusy:0400
Bardonnex,LocalDeVote,Bardonnex:0500
Bellevue,LocalDeVote,Bellevue:0600
Bernex,LocalDeVote,Bernex:0700
Carouge,LocalDeVote,Carouge:0800
Cartigny,LocalDeVote,Cartigny:0900
Céligny,LocalDeVote,Céligny:1000
Chancy,LocalDeVote,Chancy:1100
Chêne-Bougeries-Centre,LocalDeVote,Chêne-Bougeries-Centre:1201
Conches,LocalDeVote,Conches:1202
Chêne-Bourg,LocalDeVote,Chêne-Bourg:1300
Choulex,LocalDeVote,Choulex:1400
Collex-Bossy,LocalDeVote,Collex-Bossy:1500
Collonge-Bellerive,LocalDeVote,Collonge-Bellerive:1600
Cologny,LocalDeVote,Cologny:1700
Confignon,LocalDeVote,Confignon:1800
Corsier,LocalDeVote,Corsier:1900
Dardagny,LocalDeVote,Dardagny:2000
Cité - Rive,LocalDeVote,Cité - Rive:2101
Pâquis,LocalDeVote,Pâquis:2102
Saint-Gervais,LocalDeVote,Saint-Gervais:2103
Prairie-Délices,LocalDeVote,Prairie-Délices:2104
Eaux-Vives - Lac,LocalDeVote,Eaux-Vives - Lac:2105
Eaux-Vives - Frontenex,LocalDeVote,Eaux-Vives - Frontenex:2106
Florissant - Malagnou,LocalDeVote,Florissant - Malagnou:2107
Cluse - Roseraie,LocalDeVote,Cluse - Roseraie:2108
Acacias,LocalDeVote,Acacias:2109
Mail - Jonction,LocalDeVote,Mail - Jonction:2110
Servette - Grand-Pré,LocalDeVote,Servette - Grand-Pré:2111
Prieuré - Sécheron,LocalDeVote,Prieuré - Sécheron:2112
Saint-Jean,LocalDeVote,Saint-Jean:2113
Les Crêts,LocalDeVote,Les Crêts:2114
Cropettes - Vidollet,LocalDeVote,Cropettes - Vidollet:2115
Vieusseux,LocalDeVote,Vieusseux:2116
Champel,LocalDeVote,Champel:2117
Genthod,LocalDeVote,Genthod:2200
Grand-Saconnex,LocalDeVote,Grand-Saconnex:2300
Gy,LocalDeVote,Gy:2400
Hermance,LocalDeVote,Hermance:2500
Jussy,LocalDeVote,Jussy:2600
Laconnex,LocalDeVote,Laconnex:2700
Grand-Lancy,LocalDeVote,Grand-Lancy:2801
Petit-Lancy,LocalDeVote,Petit-Lancy:2802
Meinier,LocalDeVote,Meinier:2900
Meyrin,LocalDeVote,Meyrin:3000
Onex,LocalDeVote,Onex:3100
Perly-Certoux,LocalDeVote,Perly-Certoux:3200
Plan-les-Ouates,LocalDeVote,Plan-les-Ouates:3300
Pregny-Chambésy,LocalDeVote,Pregny-Chambésy:3400
Presinge,LocalDeVote,Presinge:3500
Puplinge,LocalDeVote,Puplinge:3600
Russin,LocalDeVote,Russin:3700
Satigny,LocalDeVote,Satigny:3800
Soral,LocalDeVote,Soral:3900
Thônex,LocalDeVote,Thônex:4000
Troinex,LocalDeVote,Troinex:4100
Vandoeuvres,LocalDeVote,Vandoeuvres:4200
Vernier village,LocalDeVote,Vernier village:4301
Châtelaine,LocalDeVote,Châtelaine:4302
Aïre-Le Lignon,LocalDeVote,Aïre-Le Lignon:4303
Les Avanchets,LocalDeVote,Les Avanchets:4304
Versoix,LocalDeVote,Versoix:4400
Veyrier,LocalDeVote,Veyrier:4500
Suisses de l'Étranger,LocalDeVote,Suisses de l'Étranger:4600
TOTAL CANTON,LocalDeVote,TOTAL CANTON:0000
Chêne-Bougeries,LocalDeVote,Chêne-Bougeries:1200
Genève,LocalDeVote,Genève:2100
Lancy,LocalDeVote,Lancy:2800
Vernier,LocalDeVote,Vernier:4300
