entity;value;synonyms
Depute_e;PAGANI Rémy;Rémy:PAGANI
Depute_e;WENGER Saliha;Saliha:WENGER:Salika
Depute_e;ZAUGG Christian;Christian:ZAUGG:ZAUG:ZOG:ZOGG
Depute_e;HALLER Jocelyne;Jocelyne:HALLER:HALER
Depute_e;ENILINE Alexander;Alexander:ENILINE
Depute_e;CRUCHON Pablo;Pablo:CRUCHON
Depute_e;VALENTINO Stéphanie;Stéphanie:VALENTINO
Depute_e;BURGERMEISTER Jean;Jean:BURGERMEISTER
Depute_e;ECUYER Hélène;Hélène:ECUYER
Depute_e;ISSOM David-Zacharie;David:Zacharie:ISSOM:ISOM
Depute_e;OSSMANN Sekna;Sekna:OSSMANN:OSMANN:OSSMAN
Depute_e;NYFFELER BATOU Françoise;Françoise:NYFFELER:BATOU:NIFFELER:NYFELLER
Depute_e;JANUZI Bashkim;Bashkim:JANUZI:Baskim:JANUZZI
Depute_e;ECUYER Sébastien;Sébastien:ECUYER
Depute_e;OVETT BONDI Davinia;Davinia:OVETT:BONDI:OVET
Depute_e;JIMENEZ Jean-Daniel;Jean:Daniel:JIMENEZ
Depute_e;ECUYER Annick;Annick:ECUYER
Depute_e;PERADOTTO Julie;Julie:PERADOTTO:PERADOTO:PERRADOTO:PERADOTTO
Depute_e;MANRÍQUEZ Matías;Matías:MANRÍQUEZ
Depute_e;ZEHFUS Yves;Yves:ZEHFUS:ZHEFUS:ZEHFUSS:ZHEFUSS
Depute_e;ZAUGG Daniel;Daniel:ZAUGG:ZAUG:ZOG:ZOGG
Depute_e;PEREZ Maria;Maria:PEREZ:Lou
Depute_e;SCHNEBLI Tobias;Tobias:SCHNEBLI:Tobia:SHNEBLI
Depute_e;MISSOH DZIKUNOO Massan;Massan:MISSOH:DZIKUNOO:DZIKOUNO:MISSO:MISHO
Depute_e;MARTENOT Aude;Aude:MARTENOT
Depute_e;VANEK Pierre;Pierre:VANEK:VANECK
Depute_e;CLEMENT Patrice;Patrice:CLEMENT
Depute_e;PREZIOSO BATOU Stefania;Stefania:PREZIOSO:BATOU:PRESIOSO
Depute_e;ESAKI KABEYA Elisabeth;Elisabeth:ESAKI:KABEYA
Depute_e;LANGFORD Pia;Pia:LANGFORD
Depute_e;VINCENT Michel;Michel:VINCENT
Depute_e;RUMPCZYK Delphine;Delphine:RUMPCZYK:RUMPTCHIK:RUMPTCHYK:RUMPZYK
Depute_e;SALM DARBOE Karijn;Karijn:SALM:DARBOE
Depute_e;ANDENMATTEN David;David:ANDENMATTEN:ANDENMATEN
Depute_e;SCHMID Audrey;Audrey:SCHMID:SCHMIT:SCHMITT
Depute_e;GUEVARA Francisco;Francisco:GUEVARA
Depute_e;BATOU Jean;Jean:BATOU
Depute_e;STEBLER GUENAT Henriette;Henriette:STEBLER:GUENAT:GUENAZ:GUENAD
Depute_e;EDJEOU Corinne;Corinne:EDJEOU:BUNTSCHU:BUNTCHU
Depute_e;ZAUGG Cecilia;"Cecilia:ZAUGG;ZAUG:ZOG:ZOGG"
Depute_e;BAUD Olivier;Olivier:BAUD:BEAUD:BEAU
Depute_e;ZBINDEN Livia;Livia:ZBINDEN
Depute_e;ROSSEL Pascal;Pascal:ROSSEL:ROSEL:ROSSELL
Depute_e;BAYENET Pierre;Pierre:BAYENET:BAIENET
Depute_e;BAILAT Ariane;Ariane:BAILAT:BAILLAT
Depute_e;MAILLEFER Denise;Denise:MAILLEFER:MAILEFER
Depute_e;MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte;Charlotte:MEIERHOFER:MANYAGOUA:BOUMTCHÉ:MEIERHOFFER:MANIAGOUA
Depute_e;BLANCHET Marjo;Marjo:BLANCHET
Depute_e;MARTI Werner;Werner:MARTI:MARTY
Depute_e;KHAOUCHI Corinne;Corinne:KHAOUCHI:KAOUCHI:KAHOUCHI
Depute_e;BOLAY ROBIN Stéphanie;Stéphanie:BOLAY:ROBIN
Depute_e;BLANCO Luis;Luis:BLANCO
Depute_e;MAMIN François;François:MAMIN
Depute_e;DE MELO MARCELINO Amélia;Amélia:DE:MELO:MARCELINO
Depute_e;BOUZID Mohamed;Mohamed:BOUZID
Depute_e;BOUJEMAA Sanae;Sanae:BOUJEMAA:BOUJEMA
Depute_e;GALLAND Eduardo;Eduardo:GALLAND:GALLANT
Depute_e;JELK Andrée;Andrée:JELK:JELK:PEILA:JELCK:PELA
Depute_e;CASTRO Gloria;Gloria:CASTRO
Depute_e;CAMELO Alfredo;Alfredo:CAMELO
Depute_e;NOETZLIN Simon;Simon:NOETZLIN
Depute_e;DURAKU Fitore;Fitore:DURAKU
Depute_e;DURAKU Edon;Edon:DURAKU
