entity,value,synonyms
Depute_e,PAGANI Rémy,rémy:pagani:Remy:pagani
Depute_e,WENGER Saliha,saliha:wenger:salika:saliha:wenger:Salika
Depute_e,ZAUGG Christian,christian:zaugg:zaug:zog:zogg:christian:zaugg:Zaug:zog:Zogg
Depute_e,HALLER Jocelyne,jocelyne:haller:haler:Jocelyne:haller:haul
Depute_e,ENILINE Alexander,alexander:eniline:alexander:eniline
Depute_e,CRUCHON Pablo,pablo:cruchon:pablo:jug
Depute_e,VALENTINO Stéphanie,stéphanie:valentino:stephanie:Valentino
Depute_e,BURGERMEISTER Jean,jean:burgermeister:jean:burgermeister
Depute_e,ECUYER Hélène,hélène:ecuyer:helen:Esquire
Depute_e,ISSOM David-Zacharie,david:zacharie:issom:isom:david:zacharie:ISSOM:isomer
Depute_e,OSSMANN Sekna,sekna:ossmann:osmann:ossman:sekna:Ossmann:Osmann:Ossman
Depute_e,NYFFELER BATOU Françoise,françoise:nyffeler:batou:niffeler:nyfeller:Francoise:Nyffeler:batou:Niffeler:nyfeller
Depute_e,JANUZI Bashkim,bashkim:januzi:baskim:januzzi:bashkim:Januzi:Baskim:Januzzi
Depute_e,ECUYER Sébastien,sébastien:ecuyer:Sebastian:Esquire
Depute_e,OVETT BONDI Davinia,davinia:ovett:bondi:ovet:davinia:Ovett:jumped:ovet
Depute_e,JIMENEZ Jean-Daniel,jean:daniel:jimenez:jean:daniel:Jimenez
Depute_e,ECUYER Annick,annick:ecuyer:Annick:Esquire
Depute_e,PERADOTTO Julie,julie:peradotto:peradoto:perradoto:peradotto:julie:Peradotto:peradoto:perradoto:Peradotto
Depute_e,MANRÍQUEZ Matías,matías:manríquez:matías:Manríquez
Depute_e,ZEHFUS Yves,yves:zehfus:zhefus:zehfuss:zhefuss:Yves:Zehfus:zhefus:zehfuss:zhefuss
Depute_e,ZAUGG Daniel,daniel:zaugg:zaug:zog:zogg:daniel:zaugg:Zaug:zog:Zogg
Depute_e,PEREZ Maria,maria:perez:lou:maria:perez:lou
Depute_e,SCHNEBLI Tobias,tobias:schnebli:tobia:shnebli:Tobias:Schnebli:tobia:shnebli
Depute_e,MISSOH DZIKUNOO Massan,massan:missoh:dzikunoo:dzikouno:misso:misho:massan:missoh:dzikunoo:dzikouno:misso:misho
Depute_e,MARTENOT Aude,aude:martenot:Aude:Martenot
Depute_e,VANEK Pierre,pierre:vanek:vaneck:Stone:vanek:vaneck
Depute_e,CLEMENT Patrice,patrice:clement:patrice:clement
Depute_e,PREZIOSO BATOU Stefania,stefania:prezioso:batou:presioso:stefania:prezioso:batou:presioso
Depute_e,ESAKI KABEYA Elisabeth,elisabeth:esaki:kabeya:elizabeth:Esaki:kabeya
Depute_e,LANGFORD Pia,pia:langford:Pia:langford
Depute_e,VINCENT Michel,michel:vincent:michel:vincent
Depute_e,RUMPCZYK Delphine,delphine:rumpczyk:rumptchik:rumptchyk:rumpzyk:Delphine:rumpczyk:rumptchik:rumptchyk:rumpzyk
Depute_e,SALM DARBOE Karijn,karijn:salm:darboe:Karijn:Salm:Darboe
Depute_e,ANDENMATTEN David,david:andenmatten:andenmaten:david:Andenmatten:andenmaten
Depute_e,SCHMID Audrey,audrey:schmid:schmit:schmitt:Audrey:schmid:schmit:schmitt
Depute_e,GUEVARA Francisco,francisco:guevara:francisco:Guevara
Depute_e,BATOU Jean,jean:batou:jean:batou
Depute_e,STEBLER GUENAT Henriette,henriette:stebler:guenat:guenaz:guenad:Henriette:stebler:Guenat:guenaz:guenad
Depute_e,EDJEOU Corinne,corinne:edjeou:buntschu:buntchu:Corinne:edjeou:Buntschu:buntchu
Depute_e,ZAUGG Cecilia,cecilia:zaugg;zaug:zog:zogg:cecilia:zaugg;:Zaug:zog:Zogg
Depute_e,BAUD Olivier,olivier:baud:beaud:beau:Olive:baud:beaud:beautiful
Depute_e,ZBINDEN Livia,livia:zbinden:livia:zbinden
Depute_e,ROSSEL Pascal,pascal:rossel:rosel:rossell:pascal:rossel:rosel:rossell
Depute_e,BAYENET Pierre,pierre:bayenet:baienet:Stone:Bayenet:baienet
Depute_e,BAILAT Ariane,ariane:bailat:baillat:Breadcrumb:Bailat:Baillat
Depute_e,MAILLEFER Denise,denise:maillefer:mailefer:denise:maillefer:mailefer
Depute_e,MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,charlotte:meierhofer:manyagoua:boumtché:meierhoffer:maniagoua:charlotte:Meierhofer:manyagoua:boumtché:meierhoffer:maniagoua
Depute_e,BLANCHET Marjo,marjo:blanchet:marjo:blanket
Depute_e,MARTI Werner,werner:marti:marty:Werner:marti:marty
Depute_e,KHAOUCHI Corinne,corinne:khaouchi:kaouchi:kahouchi:Corinne:khaouchi:kaouchi:kahouchi
Depute_e,BOLAY ROBIN Stéphanie,stéphanie:bolay:robin:stephanie:Bolay:robin
Depute_e,BLANCO Luis,luis:blanco:luis:blanco
Depute_e,MAMIN François,françois:mamin:François:Mamin
Depute_e,DE MELO MARCELINO Amélia,amélia:de:melo:marcelino:amélia:from:melo:marcelino
Depute_e,BOUZID Mohamed,mohamed:bouzid:mohamed:Bouzid
Depute_e,BOUJEMAA Sanae,sanae:boujemaa:boujema:Sanae:Boujemaa:Boujema
Depute_e,GALLAND Eduardo,eduardo:galland:gallant:eduardo:galland:gallant
Depute_e,JELK Andrée,andrée:jelk:jelk:peila:jelck:pela:andrée:Jelk:Jelk:Peila:jelck:pela
Depute_e,CASTRO Gloria,gloria:castro:gloria:castro
Depute_e,CAMELO Alfredo,alfredo:camelo:alfredo:camelo
Depute_e,NOETZLIN Simon,simon:noetzlin:simon:noetzlin
Depute_e,DURAKU Fitore,fitore:duraku:Fitore:Duraku
Depute_e,DURAKU Edon,edon:duraku:edon:Duraku
Depute_e,FERREIRA Elisabeth,elisabeth:ferreira:fereirai:ferrera:elizabeth:ferreira:fereirai:ferrera
Depute_e,CHRISTINAT Jean-David,jean:david:christinat:christina:jean:david:Christinat:christina
Depute_e,GERARDO FÉLIZ GRUBI Ynes,ynes:gerardo:féliz:grubi:felix:ynes:gerardo:Feliz:Grubi:felix
Depute_e,CARLO Xavier,xavier:carlo:xavier:carlo
Depute_e,SAHIN Gazi,gazi:sahin:Gazi:Sahin
Depute_e,HODGERS Antonio,antonio:hodgers:antonio:Hodgers
Depute_e,DE CHASTONAY Marjorie,marjorie:de:chastonay:dechastonay:de:chastonnay:de:chastonait:marjorie:from:chastonay:dechastonay:from:chastonnay:from:chastonait
Depute_e,ROCHAT Yvan,yvan:rochat:yvan:rochat
Depute_e,PERLER Frédérique,frédérique:perler:frédérique:beading
Depute_e,BUSCHBECK Mathias,mathias:buschbeck:buchbeck:bushbeck:buschbek:Mathias:Buschbeck:buchbeck:bushbeck:buschbek
Depute_e,LEFORT François,françois:lefort:François:lefort
Depute_e,LEONELLI Katia,katia:leonelli:leonnelli:leoneli:Katia:Leonelli:leonnelli:leoneli
Depute_e,MACCHIAVELLI Marta,marta:macchiavelli:marta:julia:machiavelli:macchiaveli:Marta:macchiavelli:marta:julia:machiavelli:macchiaveli
Depute_e,MAKOSSO William,william:makosso:makoso:mackosso:william:Makosso:makoso:Mackosso
Depute_e,MARTIN David,david:martin:david:martin
Depute_e,MÜLLER SONTAG Corinne,corinne:müller:sontag:Corinne:müller:sontag
Depute_e,NICOLET-DIT-FELIX Julien,julien:nicolet:dit:felix:Julian:nicolet:said:felix
Depute_e,NOËL Philippe,philippe:noël:philippe:christmas
Depute_e,ORIOLO Alessandra,alessandra:oriolo:oriollo:alessandra:oriolo:oriollo
Depute_e,OZTÜRK Dilara,dilara:oztürk:dilara:Oztürk
Depute_e,PASQUIER Isabelle,isabelle:pasquier:pasquier:eichenberger:Isabelle:pasquier:pasquier:eichenberger
Depute_e,POGET Philippe,philippe:poget:philippe:poget
Depute_e,QUIJANO GARCIA Maria,maria:quijano:garcia:maria:josé:maria:quijano:garcia:maria:jose
Depute_e,RODRIGUEZ Mario,mario:rodriguez:rodrigues:Mario:rodriguez:Rodrigues
Depute_e,ROGG Catharina,catharina:rogg:olowine:rog:catharina:rogg:olowine:rog
