value,entity,synonyms
aire la ville,Commune,aire:la:ville:1:area:the:city:1
anieres,Commune,anieres:1:anieres:1
avully,Commune,avully:1:avully:1
avusy,Commune,avusy:1:Avusy:1
bardonnex,Commune,bardonnex:1:bardonnex:1
bellevue,Commune,bellevue:1:Bellevue:1
bernex,Commune,bernex:1:bernex:1
carouge,Commune,carouge:1:carouge:1
cartigny,Commune,cartigny:1:cartigny:1
celigny,Commune,celigny:1:celigny:1
chancy,Commune,chancy:1:chancy:1
chene bougeries centre,Commune,chene:bougeries:centre:1:oak:bougeries:Center:1
conches,Commune,conches:2:conches:2
chene bourg,Commune,chene:bourg:1:Oak:Town:1
choulex,Commune,choulex:1:Choulex:1
collex bossy,Commune,collex:bossy:1:Collex:bossy:1
collonge bellerive,Commune,collonge:bellerive:1:collonge:bellerive:1
cologny,Commune,cologny:1:cologny:1
confignon,Commune,confignon:1:confignon:1
corsier,Commune,corsier:1:corsier:1
dardagny,Commune,dardagny:1:Dardagny:1
cite rive,Commune,cite:rive:1:quote:bank:1
paquis,Commune,paquis:2:paquis:2
saint gervais,Commune,saint:gervais:3:saint:Gervais:3
prairie delices,Commune,prairie:delices:4:Prairie:delices:4
eaux vives lac,Commune,eaux:vives:lac:5:Water:vivid:Lake:5
eaux vives frontenex,Commune,eaux:vives:frontenex:6:Water:vivid:frontenex:6
florissant malagnou,Commune,florissant:malagnou:7:flourishing:Malagnou:7
cluse roseraie,Commune,cluse:roseraie:8:cluse:rose:8
acacias,Commune,acacias:9:acacias:9
mail jonction,Commune,mail:jonction:mail:junction
servette grand pre,Commune,servette:grand:pre:11:servette:big:pre:11
prieure secheron,Commune,prieure:secheron:12:prioress:Secheron:12
saint jean,Commune,saint:jean:13:saint:jean:13
les crets,Commune,les:crets:14:the:crets:14
cropettes vidollet,Commune,cropettes:vidollet:15:Cropettes:Vidollet:15
vieusseux,Commune,vieusseux:16:Vieusseux:16
champel,Commune,champel:17:champel:17
genthod,Commune,genthod:1:genthod:1
grand saconnex,Commune,grand:saconnex:1:big:saconnex:1
gy,Commune,gy:1:gy:1
hermance,Commune,hermance:1:hermance:1
jussy,Commune,jussy:1:jussy:1
laconnex,Commune,laconnex:1:Laconnex:1
grand lancy,Commune,grand:lancy:1:big:Lancy:1
petit lancy,Commune,petit:lancy:2:Small:Lancy:2
meinier,Commune,meinier:1:Meinier:1
meyrin,Commune,meyrin:1:meyrin:1
onex,Commune,onex:1:onex:1
perly certoux,Commune,perly:certoux:1:perly:Certoux:1
plan les ouates,Commune,plan:les:ouates:1:map:the:wadding:1
pregny chambesy,Commune,pregny:chambesy:1:Pregny:Chambesy:1
presinge,Commune,presinge:1:Presinge:1
puplinge,Commune,puplinge:1:Puplinge:1
russin,Commune,russin:1:russin:1
satigny,Commune,satigny:1:satigny:1
soral,Commune,soral:1:Soral:1
thonex,Commune,thonex:1:thonex:1
troinex,Commune,troinex:1:Troinex:1
vandoeuvres,Commune,vandoeuvres:1:Vandoeuvres:1
vernier village,Commune,vernier:village:1:vernier:Village:1
chatelaine,Commune,chatelaine:2:chatelaine:2
aire le lignon,Commune,aire:le:lignon:3:area:on:lignon:3
les avanchets,Commune,les:avanchets:4:them:avanchets:4
versoix,Commune,versoix:1:versoix:1
veyrier,Commune,veyrier:1:veyrier:1
suisses de l'etranger,Commune,suisses:de:l:etranger:1:Swiss:of:abroad:1
total canton,Commune,total:canton:total:Township
