value,synonyms,entity
PAGANI Rémy,Pagani:Remy,Candidat_GC
WENGER Saliha,Wenger:Saliha,Candidat_CE_GC
ZAUGG Christian,Zaugg:Christian,Candidat_GC
HALLER Jocelyne,Haller:Jocelyne,Candidat_CE_GC
ENILINE Alexander,Eniline:Alexander,Candidat_GC
CRUCHON Pablo,Cruchon:Pablo,Candidat_GC
VALENTINO Stéphanie,Valentino:Stephanie,Candidat_GC
BURGERMEISTER Jean,Burgermeister:Jean,Candidat_CE_GC
ECUYER Hélène,Ecuyer:Helene,Candidat_GC
ISSOM David-Zacharie,Issom:David Zacharie,Candidat_GC
OSSMANN Sekna,Ossmann:Sekna,Candidat_GC
NYFFELER BATOU Françoise,Nyffeler:Batou:Françoise,Candidat_GC
JANUZI Bashkim,Januzi:Bashkim,Candidat_GC
ECUYER Sébastien,Ecuyer:Sebastien,Candidat_GC
OVETT BONDI Davinia,Ovett:Bondi:Davinia,Candidat_GC
JIMENEZ Jean-Daniel,Jimenez:Jean Daniel,Candidat_GC
ECUYER Annick,Ecuyer:Annick,Candidat_GC
PERADOTTO Julie,Peradotto:Julie,Candidat_GC
MANRÍQUEZ Matías,Manríquez:Matías,Candidat_GC
ZEHFUS Yves,Zehfus:Yves,Candidat_GC
ZAUGG Daniel,Zaugg:Daniel,Candidat_GC
PEREZ Maria,Perez:Maria,Candidat_GC
SCHNEBLI Tobias,Schnebli:Tobias,Candidat_GC
MISSOH DZIKUNOO Massan,Missoh:Dzikunoo:Massan,Candidat_GC
MARTENOT Aude,Martenot:Aude,Candidat_GC
VANEK Pierre,Vanek:Pierre,Candidat_GC
CLEMENT Patrice,Clement:Patrice,Candidat_GC
PREZIOSO BATOU Stefania,Prezioso:Batou:Stefania,Candidat_GC
ESAKI KABEYA Elisabeth,Esaki:Kabeya:Elisabeth,Candidat_GC
LANGFORD Pia,Langford:Pia,Candidat_GC
VINCENT Michel,Vincent:Michel,Candidat_GC
RUMPCZYK Delphine,Rumpczyk:Delphine,Candidat_GC
SALM DARBOE Karijn,Salm:Darboe:Karijn,Candidat_GC
ANDENMATTEN David,Andenmatten:David,Candidat_GC
SCHMID Audrey,Schmid:Audrey,Candidat_GC
GUEVARA Francisco,Guevara:Francisco,Candidat_GC
BATOU Jean,Batou:Jean,Candidat_GC
STEBLER GUENAT Henriette,Stebler:Guenat:Henriette,Candidat_GC
EDJEOU Corinne,Edjeou:Corinne,Candidat_GC
ZAUGG Cecilia,Zaugg:Cecilia,Candidat_GC
BAUD Olivier,Baud:Olivier,Candidat_GC
ZBINDEN Livia,Zbinden:Livia,Candidat_GC
ROSSEL Pascal,Rossel:Pascal,Candidat_GC
BAYENET Pierre,Bayenet:Pierre,Candidat_GC
BAILAT Ariane,Bailat:Ariane,Candidat_GC
MAILLEFER Denise,Maillefer:Denise,Candidat_GC
MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,Meierhofer:Manyagoua:Boumtche:Charlotte,Candidat_GC
BLANCHET Marjo,Blanchet:Marjo,Candidat_GC
MARTI Werner,Marti:Werner,Candidat_GC
KHAOUCHI Corinne,Khaouchi:Corinne,Candidat_GC
BOLAY ROBIN Stéphanie,Bolay:Robin:Stephanie,Candidat_GC
BLANCO Luis,Blanco:Luis,Candidat_GC
MAMIN François,Mamin:François,Candidat_GC
