entity,value,synonyms
GC,Pagani Rémy,Remy Pagani
GC,Wenger Saliha,Saliha Wenger:Salika Wenger
GC,Zaugg Christian,Christian Zaugg
GC,Haller Jocelyne,Jocelyne Haller
GC,Eniline Alexander,Alexander Eniline
GC,Cruchon Pablo,Pablo Cruchon
GC,Valentino Stéphanie,Stephanie Valentino
GC,Burgermeister Jean,Jean Burgermeister
GC,Ecuyer Hélène,Helene Ecuyer
GC,Issom David-Zacharie,David-Zacharie Issom
GC,Ossmann Sekna,Sekna Ossmann
GC,Nyffeler Batou Françoise,Françoise Nyffeler Batou
GC,Januzi Bashkim,Bashkim Januzi
GC,Ecuyer Sébastien,Sebastien Ecuyer
GC,Ovett Bondi Davinia,Davinia Ovett Bondi
GC,Jimenez Jean-Daniel,Jean-Daniel Jimenez
GC,Ecuyer Annick,Annick Ecuyer
GC,Peradotto Julie,Julie Peradotto
GC,Manríquez Matías,Matías Manríquez
GC,Zehfus Yves,Yves Zehfus
GC,Zaugg Daniel,Daniel Zaugg
GC,Perez Maria,Maria Perez:Lou Perez
GC,Schnebli Tobias,Tobias Schnebli:Tobia Schnebli
GC,Missoh Dzikunoo Massan,Massan Missoh Dzikunoo
GC,Martenot Aude,Aude Martenot
GC,Vanek Pierre,Pierre Vanek
GC,Clement Patrice,Patrice Clement
GC,Prezioso Batou Stefania,Stefania Prezioso Batou
GC,Esaki Kabeya Elisabeth,Elisabeth Esaki Kabeya
GC,Langford Pia,Pia Langford
GC,Vincent Michel,Michel Vincent
GC,Rumpczyk Delphine,Delphine Rumpczyk
GC,Salm Darboe Karijn,Karijn Salm Darboe
GC,Andenmatten David,David Andenmatten
GC,Schmid Audrey,Audrey Schmid
GC,Guevara Francisco,Francisco Guevara
GC,Batou Jean,Jean Batou
GC,Stebler Guenat Henriette,Henriette Stebler Guenat
GC,Edjeou Corinne,Corinne Edjeou:Corinne Buntschu
GC,Zaugg Cecilia,Cecilia Zaugg
GC,Baud Olivier,Olivier Baud
GC,Zbinden Livia,Livia Zbinden
GC,Rossel Pascal,Pascal Rossel
GC,Bayenet Pierre,Pierre Bayenet
GC,Bailat Ariane,Ariane Bailat
GC,Maillefer Denise,Denise Maillefer
GC,Meierhofer Manyagoua Boumtché Charlotte,Charlotte Meierhofer Manyagoua Boumtche
GC,Blanchet Marjo,Marjo Blanchet
GC,Marti Werner,Werner Marti
GC,Khaouchi Corinne,Corinne Khaouchi
GC,Bolay Robin Stéphanie,Stephanie Bolay Robin
GC,Blanco Luis,Luis Blanco
GC,Mamin François,François Mamin
GC,De Melo Marcelino Amélia,Amelia De Melo Marcelino
GC,Bouzid Mohamed,Mohamed Bouzid
GC,Boujemaa Sanae,Sanae Boujemaa
GC,Galland Eduardo,Eduardo Galland
GC,Jelk Andrée,Andree Jelk:Andree Jelk-Peila
GC,Castro Gloria,Gloria Castro
GC,Camelo Alfredo,Alfredo Camelo
GC,Noetzlin Simon,Simon Noetzlin
GC,Duraku Fitore,Fitore Duraku
GC,Duraku Edon,Edon Duraku
GC,Ferreira Elisabeth,Elisabeth Ferreira
GC,Christinat Jean-David,Jean-David Christinat
GC,Gerardo Féliz Grubi Ynes,Ynes Gerardo Feliz Grubi
GC,Carlo Xavier,Xavier Carlo
GC,Sahin Gazi,Gazi Sahin
GC,Hodgers Antonio,Antonio Hodgers
GC,De Chastonay Marjorie,Marjorie De Chastonay
GC,Rochat Yvan,Yvan Rochat
GC,Perler Frédérique,Frederique Perler
GC,Buschbeck Mathias,Mathias Buschbeck
GC,Lefort François,François Lefort
GC,Leonelli Katia,Katia Leonelli
GC,Macchiavelli Marta,Marta Macchiavelli:Marta Julia Macchiavelli
GC,Makosso William,William Makosso
GC,Martin David,David Martin
GC,Müller Sontag Corinne,Corinne Muller Sontag
GC,Nicolet-Dit-Felix Julien,Julien Nicolet-Dit-Felix
GC,Noël Philippe,Philippe Noel
GC,Oriolo Alessandra,Alessandra Oriolo
GC,Oztürk Dilara,Dilara Ozturk
GC,Pasquier Isabelle,Isabelle Pasquier:Isabelle Pasquier-Eichenberger
GC,Poget Philippe,Philippe Poget
GC,Quijano Garcia Maria,Maria Quijano Garcia:Maria Jose Quijano Garcia
GC,Rodriguez Mario,Mario Rodriguez
GC,Rogg Catharina,Catharina Rogg:Olowine Rogg
GC,Rossiaud Jean,Jean Rossiaud
GC,Saa Baud Yubitza,Yubitza Saa Baud
GC,Schalk Antoine,Antoine Schalk
GC,Schaufelberger Esther,Esther Schaufelberger
GC,Sordet Adrienne,Adrienne Sordet
GC,Taleghani Majid,Majid Taleghani
GC,Tchamkerten Jolanka,Jolanka Tchamkerten
GC,Tiguemounine Sabine,Sabine Tiguemounine
GC,Tinguely Dominique,Dominique Tinguely
GC,Tschudi Paloma,Paloma Tschudi
GC,Van Woerden Wendy,Wendy Van Woerden
GC,Veiga Arias Damian,Damian Veiga Arias:Damian Veiga Loffel
GC,Wisard Prado Leyma,Leyma Wisard Prado
GC,Yunus Ebener Mariam,Mariam Yunus Ebener:Maryam Yunus Ebener
GC,Amato Maurice,Maurice Amato
GC,Amsellem Benedicte,Benedicte Amsellem:Benedicte Amsellem-Ossipow
GC,Ardizzone Ivan,Ivan Ardizzone
GC,Azzabi Omar,Omar Azzabi
GC,Bänziger Ruth,Ruth Banziger
GC,Barciela Villar Ana,Ana Barciela Villar
GC,Bavarel Christian,Christian Bavarel
GC,Boccard Damien,Damien Boccard:Damien Baptiste Boccard
GC,Bonny Didier,Didier Bonny
GC,Bonvin Bonfanti Anne,Anne Bonvin Bonfanti
GC,Bucher Denis,Denis Bucher
GC,Buenzod Christian,Christian Buenzod
GC,Bui Aurore,Aurore Bui
GC,Cabitza Marina,Marina Cabitza
GC,Calame Boris,Boris Calame
GC,Calame Fabrice,Fabrice Calame
GC,Chaudieu Anne,Anne Chaudieu
GC,Concha Celtia,Celtia Concha
GC,Corpataux Laurence,Laurence Corpataux
GC,Dalphin Marc,Marc Dalphin
GC,De Felice Nicolas,Nicolas De Felice
GC,De Maio Sara,Sara De Maio
GC,De Matteis Yves,Yves De Matteis
GC,De Rougemont Philippe,Philippe De Rougemont
GC,Desbiolles Sophie,Sophie Desbiolles
GC,Descombes Isabelle,Isabelle Descombes
GC,Dujoux Valentin,Valentin Dujoux
GC,Dupuis Renaud,Renaud Dupuis
GC,Ebener Christophe,Christophe Ebener
GC,Eckert Pierre,Pierre Eckert
GC,Fischer Fabienne,Fabienne Fischer
GC,Freymond Pascal,Pascal Freymond
