entity,value,synonyms
Candidate,Pagani Rémy,Remy Pagani
Candidate,Wenger Saliha,Saliha Wenger:Salika Wenger
Candidate,Zaugg Christian,Christian Zaugg
Candidate,Haller Jocelyne,Jocelyne Haller
Candidate,Eniline Alexander,Alexander Eniline
Candidate,Cruchon Pablo,Pablo Cruchon
Candidate,Valentino Stéphanie,Stephanie Valentino
Candidate,Burgermeister Jean,Jean Burgermeister
Candidate,Ecuyer Hélène,Helene Ecuyer
Candidate,Issom David-Zacharie,David-Zacharie Issom
Candidate,Ossmann Sekna,Sekna Ossmann
Candidate,Nyffeler Batou Françoise,Françoise Nyffeler Batou
Candidate,Januzi Bashkim,Bashkim Januzi
Candidate,Ecuyer Sébastien,Sebastien Ecuyer
Candidate,Ovett Bondi Davinia,Davinia Ovett Bondi
Candidate,Jimenez Jean-Daniel,Jean-Daniel Jimenez
Candidate,Ecuyer Annick,Annick Ecuyer
Candidate,Peradotto Julie,Julie Peradotto
Candidate,Manríquez Matías,Matías Manríquez
Candidate,Zehfus Yves,Yves Zehfus
Candidate,Zaugg Daniel,Daniel Zaugg
Candidate,Perez Maria,Maria Perez:Lou Perez
Candidate,Schnebli Tobias,Tobias Schnebli:Tobia Schnebli
Candidate,Missoh Dzikunoo Massan,Massan Missoh Dzikunoo
Candidate,Martenot Aude,Aude Martenot
Candidate,Vanek Pierre,Pierre Vanek
Candidate,Clement Patrice,Patrice Clement
Candidate,Prezioso Batou Stefania,Stefania Prezioso Batou
Candidate,Esaki Kabeya Elisabeth,Elisabeth Esaki Kabeya
Candidate,Langford Pia,Pia Langford
Candidate,Vincent Michel,Michel Vincent
Candidate,Rumpczyk Delphine,Delphine Rumpczyk
Candidate,Salm Darboe Karijn,Karijn Salm Darboe
Candidate,Andenmatten David,David Andenmatten
Candidate,Schmid Audrey,Audrey Schmid
Candidate,Guevara Francisco,Francisco Guevara
Candidate,Batou Jean,Jean Batou
Candidate,Stebler Guenat Henriette,Henriette Stebler Guenat
Candidate,Edjeou Corinne,Corinne Edjeou:Corinne Buntschu
Candidate,Zaugg Cecilia,Cecilia Zaugg
Candidate,Baud Olivier,Olivier Baud
Candidate,Zbinden Livia,Livia Zbinden
Candidate,Rossel Pascal,Pascal Rossel
Candidate,Bayenet Pierre,Pierre Bayenet
Candidate,Bailat Ariane,Ariane Bailat
Candidate,Maillefer Denise,Denise Maillefer
Candidate,Meierhofer Manyagoua Boumtché Charlotte,Charlotte Meierhofer Manyagoua Boumtche
Candidate,Blanchet Marjo,Marjo Blanchet
Candidate,Marti Werner,Werner Marti
Candidate,Khaouchi Corinne,Corinne Khaouchi
Candidate,Bolay Robin Stéphanie,Stephanie Bolay Robin
Candidate,Blanco Luis,Luis Blanco
Candidate,Mamin François,François Mamin
Candidate,De Melo Marcelino Amélia,Amelia De Melo Marcelino
Candidate,Bouzid Mohamed,Mohamed Bouzid
Candidate,Boujemaa Sanae,Sanae Boujemaa
Candidate,Galland Eduardo,Eduardo Galland
Candidate,Jelk Andrée,Andree Jelk:Andree Jelk-Peila
Candidate,Castro Gloria,Gloria Castro
Candidate,Camelo Alfredo,Alfredo Camelo
Candidate,Noetzlin Simon,Simon Noetzlin
Candidate,Duraku Fitore,Fitore Duraku
Candidate,Duraku Edon,Edon Duraku
Candidate,Ferreira Elisabeth,Elisabeth Ferreira
Candidate,Christinat Jean-David,Jean-David Christinat
Candidate,Gerardo Féliz Grubi Ynes,Ynes Gerardo Feliz Grubi
Candidate,Carlo Xavier,Xavier Carlo
Candidate,Sahin Gazi,Gazi Sahin
Candidate,Hodgers Antonio,Antonio Hodgers
Candidate,De Chastonay Marjorie,Marjorie De Chastonay
Candidate,Rochat Yvan,Yvan Rochat
Candidate,Perler Frédérique,Frederique Perler
Candidate,Buschbeck Mathias,Mathias Buschbeck
Candidate,Lefort François,François Lefort
Candidate,Leonelli Katia,Katia Leonelli
Candidate,Macchiavelli Marta,Marta Macchiavelli:Marta Julia Macchiavelli
Candidate,Makosso William,William Makosso
Candidate,Martin David,David Martin
Candidate,Müller Sontag Corinne,Corinne Muller Sontag
Candidate,Nicolet-Dit-Felix Julien,Julien Nicolet-Dit-Felix
Candidate,Noël Philippe,Philippe Noel
Candidate,Oriolo Alessandra,Alessandra Oriolo
Candidate,Oztürk Dilara,Dilara Ozturk
Candidate,Pasquier Isabelle,Isabelle Pasquier:Isabelle Pasquier-Eichenberger
Candidate,Poget Philippe,Philippe Poget
