entity,value,synonyms
Depute_e,PAGANI Rémy,Rémy:PAGANI
Depute_e,WENGER Saliha,Saliha:WENGER:Salika
Depute_e,ZAUGG Christian,Christian:ZAUGG
Depute_e,HALLER Jocelyne,Jocelyne:HALLER
Depute_e,ENILINE Alexander,Alexander:ENILINE
Depute_e,CRUCHON Pablo,Pablo:CRUCHON
Depute_e,VALENTINO Stéphanie,Stéphanie:VALENTINO
Depute_e,BURGERMEISTER Jean,Jean:BURGERMEISTER
Depute_e,ECUYER Hélène,Hélène:ECUYER
Depute_e,ISSOM David-Zacharie,David:Zacharie:ISSOM
Depute_e,OSSMANN Sekna,Sekna:OSSMANN
Depute_e,NYFFELER BATOU Françoise,Françoise:NYFFELER:BATOU
Depute_e,JANUZI Bashkim,Bashkim:JANUZI
Depute_e,ECUYER Sébastien,Sébastien:ECUYER
Depute_e,OVETT BONDI Davinia,Davinia:OVETT:BONDI
Depute_e,JIMENEZ Jean-Daniel,Jean:Daniel:JIMENEZ
Depute_e,ECUYER Annick,Annick:ECUYER
Depute_e,PERADOTTO Julie,Julie:PERADOTTO
Depute_e,MANRÍQUEZ Matías,Matías:MANRÍQUEZ
Depute_e,ZEHFUS Yves,Yves:ZEHFUS
Depute_e,ZAUGG Daniel,Daniel:ZAUGG
Depute_e,PEREZ Maria,Maria:PEREZ:Lou
Depute_e,SCHNEBLI Tobias,Tobias:SCHNEBLI:Tobia
Depute_e,MISSOH DZIKUNOO Massan,Massan:MISSOH:DZIKUNOO
Depute_e,MARTENOT Aude,Aude:MARTENOT
Depute_e,VANEK Pierre,Pierre:VANEK
Depute_e,CLEMENT Patrice,Patrice:CLEMENT
Depute_e,PREZIOSO BATOU Stefania,Stefania:PREZIOSO:BATOU
Depute_e,ESAKI KABEYA Elisabeth,Elisabeth:ESAKI:KABEYA
Depute_e,LANGFORD Pia,Pia:LANGFORD
Depute_e,VINCENT Michel,Michel:VINCENT
Depute_e,RUMPCZYK Delphine,Delphine:RUMPCZYK
Depute_e,SALM DARBOE Karijn,Karijn:SALM:DARBOE
Depute_e,ANDENMATTEN David,David:ANDENMATTEN
Depute_e,SCHMID Audrey,Audrey:SCHMID
Depute_e,GUEVARA Francisco,Francisco:GUEVARA
Depute_e,BATOU Jean,Jean:BATOU
Depute_e,STEBLER GUENAT Henriette,Henriette:STEBLER:GUENAT
Depute_e,EDJEOU Corinne,Corinne:EDJEOU:BUNTSCHU
Depute_e,ZAUGG Cecilia,Cecilia:ZAUGG
Depute_e,BAUD Olivier,Olivier:BAUD
Depute_e,ZBINDEN Livia,Livia:ZBINDEN
Depute_e,ROSSEL Pascal,Pascal:ROSSEL
Depute_e,BAYENET Pierre,Pierre:BAYENET
Depute_e,BAILAT Ariane,Ariane:BAILAT
Depute_e,MAILLEFER Denise,Denise:MAILLEFER
Depute_e,MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,Charlotte:MEIERHOFER:MANYAGOUA:BOUMTCHÉ
Depute_e,BLANCHET Marjo,Marjo:BLANCHET
Depute_e,MARTI Werner,Werner:MARTI
Depute_e,KHAOUCHI Corinne,Corinne:KHAOUCHI
Depute_e,BOLAY ROBIN Stéphanie,Stéphanie:BOLAY:ROBIN
Depute_e,BLANCO Luis,Luis:BLANCO
Depute_e,MAMIN François,François:MAMIN
Depute_e,DE MELO MARCELINO Amélia,Amélia:DE:MELO:MARCELINO
Depute_e,BOUZID Mohamed,Mohamed:BOUZID
Depute_e,BOUJEMAA Sanae,Sanae:BOUJEMAA
Depute_e,GALLAND Eduardo,Eduardo:GALLAND
Depute_e,JELK Andrée,Andrée:JELK:JELK:PEILA
Depute_e,CASTRO Gloria,Gloria:CASTRO
Depute_e,CAMELO Alfredo,Alfredo:CAMELO
Depute_e,NOETZLIN Simon,Simon:NOETZLIN
Depute_e,DURAKU Fitore,Fitore:DURAKU
Depute_e,DURAKU Edon,Edon:DURAKU
Depute_e,FERREIRA Elisabeth,Elisabeth:FERREIRA
Depute_e,CHRISTINAT Jean-David,Jean:David:CHRISTINAT
Depute_e,GERARDO FÉLIZ GRUBI Ynes,Ynes:GERARDO:FÉLIZ:GRUBI
Depute_e,CARLO Xavier,Xavier:CARLO
Depute_e,SAHIN Gazi,Gazi:SAHIN
Depute_e,HODGERS Antonio,Antonio:HODGERS
Depute_e,DE CHASTONAY Marjorie,Marjorie:DE:CHASTONAY
Depute_e,ROCHAT Yvan,Yvan:ROCHAT
Depute_e,PERLER Frédérique,Frédérique:PERLER
Depute_e,BUSCHBECK Mathias,Mathias:BUSCHBECK
Depute_e,LEFORT François,François:LEFORT
Depute_e,LEONELLI Katia,Katia:LEONELLI
