entity,value,synonyms
Depute_e,PAGANI Rémy,Rémy:PAGANI:Remy:PAGANI
Depute_e,WENGER Saliha,Saliha:WENGER:Salika:Saliha:WENGER:Salika
Depute_e,ZAUGG Christian,Christian:ZAUGG:ZAUG:ZOG:ZOGG:Christian:ZAUGG:ZAUG:ZOG:ZOGG
Depute_e,HALLER Jocelyne,Jocelyne:HALLER:HALER:Jocelyne:HALLER:HALER
Depute_e,ENILINE Alexander,Alexander:ENILINE:Alexander:ENILINE
Depute_e,CRUCHON Pablo,Pablo:CRUCHON:Pablo:CRUCHON
Depute_e,VALENTINO Stéphanie,Stéphanie:VALENTINO:Stephanie:VALENTINO
Depute_e,BURGERMEISTER Jean,Jean:BURGERMEISTER:John:BURGERMEISTER
Depute_e,ECUYER Hélène,Hélène:ECUYER:Helena:ECUYER
Depute_e,ISSOM David-Zacharie,David:Zacharie:ISSOM:ISOM:David:Zechariah:ISSOM:ISOM
Depute_e,OSSMANN Sekna,Sekna:OSSMANN:OSMANN:OSSMAN:Sekna:Ossmann:Osmann:Ossman
Depute_e,NYFFELER BATOU Françoise,Françoise:NYFFELER:BATOU:NIFFELER:NYFELLER:Françoise:NYFFELER:Batou:Niffeler:NYFELLER
Depute_e,JANUZI Bashkim,Bashkim:JANUZI:Baskim:JANUZZI:Bashkim:Januzi:Baskim:Januzzi
Depute_e,ECUYER Sébastien,Sébastien:ECUYER:Sebastian:ECUYER
Depute_e,OVETT BONDI Davinia,Davinia:OVETT:BONDI:OVET:Davinia:OVETT:BONDI:OVET
Depute_e,JIMENEZ Jean-Daniel,Jean:Daniel:JIMENEZ:Jean:Daniel:JIMENEZ
Depute_e,ECUYER Annick,Annick:ECUYER:Annick:ECUYER
Depute_e,PERADOTTO Julie,Julie:PERADOTTO:PERADOTO:PERRADOTO:PERADOTTO:Julie:Peradotto:PERADOTO:PERRADOTO:Peradotto
Depute_e,MANRÍQUEZ Matías,Matías:MANRÍQUEZ:Matías:Manriquez
Depute_e,ZEHFUS Yves,Yves:ZEHFUS:ZHEFUS:ZEHFUSS:ZHEFUSS:Yves:Zehfus:ZHEFUS:ZEHFUSS:ZHEFUSS
Depute_e,ZAUGG Daniel,Daniel:ZAUGG:ZAUG:ZOG:ZOGG:Daniel:ZAUGG:ZAUG:ZOG:ZOGG
Depute_e,PEREZ Maria,Maria:PEREZ:Lou:Maria:Perez:Lou
Depute_e,SCHNEBLI Tobias,Tobias:SCHNEBLI:Tobia:SHNEBLI:TOBIAS:Schnebli:Tobia:SHNEBLI
Depute_e,MISSOH DZIKUNOO Massan,Massan:MISSOH:DZIKUNOO:DZIKOUNO:MISSO:MISHO:Massan:MISSOH:DZIKUNOO:DZIKOUNO:MISSO:Misho
Depute_e,MARTENOT Aude,Aude:MARTENOT:Aude:MARTENOT
Depute_e,VANEK Pierre,Pierre:VANEK:VANECK:Peter:VANEK:vaneck
Depute_e,CLEMENT Patrice,Patrice:CLEMENT:Patrice:CLEMENT
Depute_e,PREZIOSO BATOU Stefania,Stefania:PREZIOSO:BATOU:PRESIOSO:Stefania:PREZIOSO:Batou:PRESIOSO
Depute_e,ESAKI KABEYA Elisabeth,Elisabeth:ESAKI:KABEYA:Elisabeth:Esaki:KABEYA
Depute_e,LANGFORD Pia,Pia:LANGFORD:Pia:LANGFORD
Depute_e,VINCENT Michel,Michel:VINCENT:Michel:VINCENT
Depute_e,RUMPCZYK Delphine,Delphine:RUMPCZYK:RUMPTCHIK:RUMPTCHYK:RUMPZYK:Delphine:RUMPCZYK:RUMPTCHIK:RUMPTCHYK:RUMPZYK
Depute_e,SALM DARBOE Karijn,Karijn:SALM:DARBOE:Karijn:SALM:Darboe
Depute_e,ANDENMATTEN David,David:ANDENMATTEN:ANDENMATEN:David:ANDENMATTEN:ANDENMATEN
Depute_e,SCHMID Audrey,Audrey:SCHMID:SCHMIT:SCHMITT:Audrey:SCHMID:SCHMIT:SCHMITT
Depute_e,GUEVARA Francisco,Francisco:GUEVARA:Francisco:GUEVARA
Depute_e,BATOU Jean,Jean:BATOU:John:Batou
Depute_e,STEBLER GUENAT Henriette,Henriette:STEBLER:GUENAT:GUENAZ:GUENAD:Henriette:STEBLER:GUENAT:GUENAZ:GUENAD
Depute_e,EDJEOU Corinne,Corinne:EDJEOU:BUNTSCHU:BUNTCHU:Corinne:EDJEOU:BUNTSCHU:BUNTCHU
Depute_e,ZAUGG Cecilia,Cecilia:ZAUGG;ZAUG:ZOG:ZOGG:Cecilia:ZAUGG;:ZAUG:ZOG:ZOGG
Depute_e,BAUD Olivier,Olivier:BAUD:BEAUD:BEAU:Olivier:Baud:BEAUD:BEAU
Depute_e,ZBINDEN Livia,Livia:ZBINDEN:Livia:ZBINDEN
Depute_e,ROSSEL Pascal,Pascal:ROSSEL:ROSEL:ROSSELL:Pascal:ROSSEL:ROSEL:ROSSELL
Depute_e,BAYENET Pierre,Pierre:BAYENET:BAIENET:Peter:Bayenet:BAIENET
Depute_e,BAILAT Ariane,Ariane:BAILAT:BAILLAT:Ariane:Bailat:BAILLAT
Depute_e,MAILLEFER Denise,Denise:MAILLEFER:MAILEFER:Denise:MAILLEFER:MAILEFER
Depute_e,MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,Charlotte:MEIERHOFER:MANYAGOUA:BOUMTCHÉ:MEIERHOFFER:MANIAGOUA:Charlotte:MEIERHOFER:MANYAGOUA:BOUMTCHÉ:MEIERHOFFER:MANIAGOUA
Depute_e,BLANCHET Marjo,Marjo:BLANCHET:Marjo:Blanchet
Depute_e,MARTI Werner,Werner:MARTI:MARTY:Werner:MARTI:MARTY
Depute_e,KHAOUCHI Corinne,Corinne:KHAOUCHI:KAOUCHI:KAHOUCHI:Corinne:KHAOUCHI:KAOUCHI:KAHOUCHI
Depute_e,BOLAY ROBIN Stéphanie,Stéphanie:BOLAY:ROBIN:Stephanie:BOLAY:ROBIN
Depute_e,BLANCO Luis,Luis:BLANCO:Luis:BLANCO
Depute_e,MAMIN François,François:MAMIN:Francis:MAMIN
Depute_e,DE MELO MARCELINO Amélia,Amélia:DE:MELO:MARCELINO:Amelia:DE:MELO:MARCELINO
Depute_e,BOUZID Mohamed,Mohamed:BOUZID:Mohamed:Bouzid
Depute_e,BOUJEMAA Sanae,Sanae:BOUJEMAA:BOUJEMA:Sanae:BOUJEMAA:Boujema
Depute_e,GALLAND Eduardo,Eduardo:GALLAND:GALLANT:Eduardo:Galland:GALLANT
Depute_e,JELK Andrée,Andrée:JELK:JELK:PEILA:JELCK:PELA:Andree:JELK:JELK:PEILA:JELCK:PELA
Depute_e,CASTRO Gloria,Gloria:CASTRO:Gloria:CASTRO
Depute_e,CAMELO Alfredo,Alfredo:CAMELO:Alfredo:CAMELO
Depute_e,NOETZLIN Simon,Simon:NOETZLIN:Simon:NOETZLIN
Depute_e,DURAKU Fitore,Fitore:DURAKU:Fitore:Duraku
Depute_e,DURAKU Edon,Edon:DURAKU:Edon:Duraku
Depute_e,FERREIRA Elisabeth,Elisabeth:FERREIRA:FEREIRAI:FERRERA:Elisabeth:FERREIRA:FEREIRAI:FERRERA
Depute_e,CHRISTINAT Jean-David,Jean:David:CHRISTINAT:CHRISTINA:John:David:CHRISTINAT:CHRISTINA
Depute_e,GERARDO FÉLIZ GRUBI Ynes,Ynes:GERARDO:FÉLIZ:GRUBI:FELIX:Ynes:GERARDO:Feliz:Grubi:FELIX
Depute_e,CARLO Xavier,Xavier:CARLO:Xavier:CARLO
Depute_e,SAHIN Gazi,Gazi:SAHIN:Gazi:SAHIN
Depute_e,HODGERS Antonio,Antonio:HODGERS:Antonio:Hodgers
Depute_e,DE CHASTONAY Marjorie,Marjorie:DE:CHASTONAY:DECHASTONAY:DE:CHASTONNAY:DE:CHASTONAIT:Marjorie:FROM:CHASTONAY:DECHASTONAY:FROM:CHASTONNAY:FROM:CHASTONAIT
Depute_e,ROCHAT Yvan,Yvan:ROCHAT:Yvan:ROCHAT
Depute_e,PERLER Frédérique,Frédérique:PERLER:Frédérique:PERLER
