local-commune_nom,commLocal
aire la ville,0100
anieres,0200
avully,0300
avusy,0400
bardonnex,0500
bellevue,0600
bernex,0700
carouge,0800
cartigny,0900
celigny,1000
chancy,1100
chene bougeries centre,1201
conches,1202
chene bourg,1300
choulex,1400
collex bossy,1500
collonge bellerive,1600
cologny,1700
confignon,1800
corsier,1900
dardagny,2000
cite rive,2101
paquis,2102
saint gervais,2103
prairie delices,2104
eaux vives lac,2105
eaux vives frontenex,2106
florissant malagnou,2107
cluse roseraie,2108
acacias,2109
mail jonction,2110
servette grand pre,2111
prieure secheron,2112
saint jean,2113
les crets,2114
cropettes vidollet,2115
vieusseux,2116
champel,2117
genthod,2200
grand saconnex,2300
gy,2400
hermance,2500
jussy,2600
laconnex,2700
grand lancy,2801
petit lancy,2802
meinier,2900
meyrin,3000
onex,3100
perly certoux,3200
plan les ouates,3300
pregny chambesy,3400
presinge,3500
puplinge,3600
russin,3700
satigny,3800
soral,3900
thonex,4000
troinex,4100
vandoeuvres,4200
vernier village,4301
chatelaine,4302
aire le lignon,4303
les avanchets,4304
versoix,4400
veyrier,4500
suisses de l'etranger,4600
total canton,0000
chene bougeries,1200
geneve,2100
lancy,2800
vernier,4300
