value,entity,synonyms
aire la ville,Commune,aire:la:ville:1
anieres,Commune,anieres:1
avully,Commune,avully:1
avusy,Commune,avusy:1
bardonnex,Commune,bardonnex:1
bellevue,Commune,bellevue:1
bernex,Commune,bernex:1
carouge,Commune,carouge:1
cartigny,Commune,cartigny:1
celigny,Commune,celigny:1
chancy,Commune,chancy:1
chene bougeries centre,Commune,chene:bougeries:centre:1
conches,Commune,conches:2
chene bourg,Commune,chene:bourg:1
choulex,Commune,choulex:1
collex bossy,Commune,collex:bossy:1
collonge bellerive,Commune,collonge:bellerive:1
cologny,Commune,cologny:1
confignon,Commune,confignon:1
corsier,Commune,corsier:1
dardagny,Commune,dardagny:1
cite rive,Commune,cite:rive:1
paquis,Commune,paquis:2
saint gervais,Commune,saint:gervais:3
prairie delices,Commune,prairie:delices:4
eaux vives lac,Commune,eaux:vives:lac:5
eaux vives frontenex,Commune,eaux:vives:frontenex:6
florissant malagnou,Commune,florissant:malagnou:7
cluse roseraie,Commune,cluse:roseraie:8
acacias,Commune,acacias:9
mail jonction,Commune,mail:jonction:10
servette grand pre,Commune,servette:grand:pre:11
prieure secheron,Commune,prieure:secheron:12
saint jean,Commune,saint:jean:13
les crets,Commune,les:crets:14
cropettes vidollet,Commune,cropettes:vidollet:15
vieusseux,Commune,vieusseux:16
champel,Commune,champel:17
genthod,Commune,genthod:1
grand saconnex,Commune,grand:saconnex:1
gy,Commune,gy:1
hermance,Commune,hermance:1
jussy,Commune,jussy:1
laconnex,Commune,laconnex:1
grand lancy,Commune,grand:lancy:1
petit lancy,Commune,petit:lancy:2
meinier,Commune,meinier:1
meyrin,Commune,meyrin:1
onex,Commune,onex:1
perly certoux,Commune,perly:certoux:1
plan les ouates,Commune,plan:les:ouates:1
pregny chambesy,Commune,pregny:chambesy:1
presinge,Commune,presinge:1
puplinge,Commune,puplinge:1
russin,Commune,russin:1
satigny,Commune,satigny:1
soral,Commune,soral:1
thonex,Commune,thonex:1
troinex,Commune,troinex:1
vandoeuvres,Commune,vandoeuvres:1
vernier village,Commune,vernier:village:1
chatelaine,Commune,chatelaine:2
aire le lignon,Commune,aire:le:lignon:3
les avanchets,Commune,les:avanchets:4
versoix,Commune,versoix:1
veyrier,Commune,veyrier:1
suisses de l'etranger,Commune,suisses:de:l'etranger:1
total canton,Commune,total:canton:0
