entity,value,synonyms
Candidats_CE,Haller Jocelyne,Jocelyne Haller:Jocelyne Haller
Candidats_CE,Hodgers Antonio,Antonio Hodgers:Antonio Hodgers
Candidats_CE,Emery-Torracinta Anne,Anne Emery-Torracinta:Anne Emery Torracinta
Candidats_CE,Apothéloz Thierry,Thierry Apothéloz:Thierry Apotheloz
Candidats_CE,Fontanet Nathalie,Nathalie Fontanet:Nathalie Fontanet
Candidats_CE,Barthassat Luc,Luc Barthassat:Luc Barthassat
Candidats_CE,Dal Busco Serge,Serge Dal Busco:Serge Dal Busco
Candidats_CE,Nidegger Yves,Yves Nidegger:Yves Nidegger
Candidats_CE,Poggia Mauro,Mauro Poggia:Mauro Poggia
Candidats_CE,Aymon Paul,Paul Aymon:dit Paul Sierre Aymon:Paul Aymon:dit Paul Sierre Aymon
Candidats_CE,Cretegny Willy,Willy Cretegny:Willy Cretegny
