entity,value,synonyms
candidate,Pagani Rémy,Remy Pagani
candidate,Wenger Saliha,Saliha Wenger:Salika Wenger
candidate,Zaugg Christian,Christian Zaugg
candidate,Haller Jocelyne,Jocelyne Haller
candidate,Eniline Alexander,Alexander Eniline
candidate,Cruchon Pablo,Pablo Cruchon
candidate,Valentino Stéphanie,Stephanie Valentino
candidate,Burgermeister Jean,Jean Burgermeister
candidate,Ecuyer Hélène,Helene Ecuyer
candidate,Issom David-Zacharie,David-Zacharie Issom
candidate,Ossmann Sekna,Sekna Ossmann
candidate,Nyffeler Batou Françoise,Françoise Nyffeler Batou
candidate,Januzi Bashkim,Bashkim Januzi
candidate,Ecuyer Sébastien,Sebastien Ecuyer
candidate,Ovett Bondi Davinia,Davinia Ovett Bondi
candidate,Jimenez Jean-Daniel,Jean-Daniel Jimenez
candidate,Ecuyer Annick,Annick Ecuyer
candidate,Peradotto Julie,Julie Peradotto
candidate,Manríquez Matías,Matías Manríquez
candidate,Zehfus Yves,Yves Zehfus
candidate,Zaugg Daniel,Daniel Zaugg
candidate,Perez Maria,Maria Perez:Lou Perez
candidate,Schnebli Tobias,Tobias Schnebli:Tobia Schnebli
candidate,Missoh Dzikunoo Massan,Massan Missoh Dzikunoo
candidate,Martenot Aude,Aude Martenot
candidate,Vanek Pierre,Pierre Vanek
candidate,Clement Patrice,Patrice Clement
candidate,Prezioso Batou Stefania,Stefania Prezioso Batou
candidate,Esaki Kabeya Elisabeth,Elisabeth Esaki Kabeya
candidate,Langford Pia,Pia Langford
candidate,Vincent Michel,Michel Vincent
candidate,Rumpczyk Delphine,Delphine Rumpczyk
candidate,Salm Darboe Karijn,Karijn Salm Darboe
candidate,Andenmatten David,David Andenmatten
candidate,Schmid Audrey,Audrey Schmid
candidate,Guevara Francisco,Francisco Guevara
candidate,Batou Jean,Jean Batou
candidate,Stebler Guenat Henriette,Henriette Stebler Guenat
candidate,Edjeou Corinne,Corinne Edjeou:Corinne Buntschu
candidate,Zaugg Cecilia,Cecilia Zaugg
candidate,Baud Olivier,Olivier Baud
candidate,Zbinden Livia,Livia Zbinden
candidate,Rossel Pascal,Pascal Rossel
candidate,Bayenet Pierre,Pierre Bayenet
candidate,Bailat Ariane,Ariane Bailat
candidate,Maillefer Denise,Denise Maillefer
candidate,Meierhofer Manyagoua Boumtché Charlotte,Charlotte Meierhofer Manyagoua Boumtche
candidate,Blanchet Marjo,Marjo Blanchet
candidate,Marti Werner,Werner Marti
candidate,Khaouchi Corinne,Corinne Khaouchi
candidate,Bolay Robin Stéphanie,Stephanie Bolay Robin
candidate,Blanco Luis,Luis Blanco
candidate,Mamin François,François Mamin
candidate,De Melo Marcelino Amélia,Amelia De Melo Marcelino
candidate,Bouzid Mohamed,Mohamed Bouzid
candidate,Boujemaa Sanae,Sanae Boujemaa
candidate,Galland Eduardo,Eduardo Galland
candidate,Jelk Andrée,Andree Jelk:Andree Jelk-Peila
candidate,Castro Gloria,Gloria Castro
candidate,Camelo Alfredo,Alfredo Camelo
candidate,Noetzlin Simon,Simon Noetzlin
candidate,Duraku Fitore,Fitore Duraku
candidate,Duraku Edon,Edon Duraku
candidate,Ferreira Elisabeth,Elisabeth Ferreira
candidate,Christinat Jean-David,Jean-David Christinat
candidate,Gerardo Féliz Grubi Ynes,Ynes Gerardo Feliz Grubi
candidate,Carlo Xavier,Xavier Carlo
candidate,Sahin Gazi,Gazi Sahin
candidate,Hodgers Antonio,Antonio Hodgers
candidate,De Chastonay Marjorie,Marjorie De Chastonay
candidate,Rochat Yvan,Yvan Rochat
candidate,Perler Frédérique,Frederique Perler
candidate,Buschbeck Mathias,Mathias Buschbeck
candidate,Lefort François,François Lefort
candidate,Leonelli Katia,Katia Leonelli
candidate,Macchiavelli Marta,Marta Macchiavelli:Marta Julia Macchiavelli
candidate,Makosso William,William Makosso
candidate,Martin David,David Martin
candidate,Müller Sontag Corinne,Corinne Muller Sontag
candidate,Nicolet-Dit-Felix Julien,Julien Nicolet-Dit-Felix
candidate,Noël Philippe,Philippe Noel
candidate,Oriolo Alessandra,Alessandra Oriolo
candidate,Oztürk Dilara,Dilara Ozturk
candidate,Pasquier Isabelle,Isabelle Pasquier:Isabelle Pasquier-Eichenberger
candidate,Poget Philippe,Philippe Poget
candidate,Quijano Garcia Maria,Maria Quijano Garcia:Maria Jose Quijano Garcia
candidate,Rodriguez Mario,Mario Rodriguez
candidate,Rogg Catharina,Catharina Rogg:Olowine Rogg
