value,entity,synonyms
ENSEMBLE À GAUCHE,Listes_GC,ensemble:a:gauche:eag:1:Overall:a:Left:eag:1
LES VERTS,Listes_GC,les:verts:vert:2:the:green:green:2
LES SOCIALISTES,Listes_GC,les:socialistes:soc:3:the:Socialist:soc:3
LIBÉRAUX-RADICAUX,Listes_GC,plr:les:liberaux:radicaux:geneve:plr4:PLR:the:Liberals:radicals:Genève:plr4
DÉMOCRATE-CHRÉTIEN,Listes_GC,parti:democrate:chretien:(pdc):pdc:5:Party:Democrat:Christian:(CDP):CDP:5
UDC,Listes_GC,udc:udc:6:UDC:UDC:6
LALISTE-FEMMES 2018,Listes_GC,laliste:femmes:18:au:grand:conseil:fem:7:laliste:Women:18:to:large:Board:fem:7
LA LISTE POUR GENÈVE,Listes_GC,la:liste:pour:geneve:lpg:8:the:list:for:geneva:lpg:8
GENÈVE EN MARCHE,Listes_GC,geneve:en:marche:gema:9:geneva:in:on:gem:9
PBD GENÈVE,Listes_GC,pbd:geneve:le:juste:milieu:pbd:1:pbd:Genève:the:right:medium:pbd:1
MCG,Listes_GC,mcg:mouvement:citoyens:genevois:mcg:111:mcg:movement:Citizens:Geneva:mcg:111
VERT'LIBÉRAUX,Listes_GC,vert_liberaux:verl:112:vert_liberaux:verl:112
ÉGALITÉ ET ÉQUITÉ,Listes_GC,liste:egalite:et:equite:lee:113:list:equality:and:equity:lee:113
