value,entity,synonyms
LES SOCIALISTES,Listes_CE,les:socialistes:soc:201
LES VERTS,Listes_CE,les:verts:vert:202
ENSEMBLE À GAUCHE,Listes_CE,ensemble:a:gauche:eag:203
MCG,Listes_CE,mcg:mouvement:citoyens:genevois:mcg:204
PLR - PDC - ENTENTE,Listes_CE,plr:pdc:entente:ent:205
RIEN PAS GRAND CHOSE,Listes_CE,de:rien:pour:arriver:a:pas:grand:chose:rien:206
SANTÉ,Listes_CE,sante:san:207
UDC,Listes_CE,udc:udc:208
PROSPÉRITÉ MAÎTRISÉE,Listes_CE,prosperite:maitrisee:prom:209
LA LISTE POUR GENÈVE,Listes_CE,la:liste:pour:geneve:lpg:210
GENÈVE EN MARCHE,Listes_CE,geneve:en:marche:gema:211
PBD GENÈVE,Listes_CE,pbd:geneve:le:juste:milieu:pbd:212
VERT'LIBÉRAUX,Listes_CE,vert_liberaux:verl:213
