value,entity,synonyms
LES SOCIALISTES,Listes_CE,les:socialistes:soc:1:them:Socialists:soc:1
LES VERTS,Listes_CE,les:verts:vert:2:the:green:green:2
ENSEMBLE À GAUCHE,Listes_CE,ensemble:a:gauche:eag:3:Overall:a:Left:eag:3
MCG,Listes_CE,mcg:mouvement:citoyens:genevois:mcg:4:mcg:movement:Citizens:Geneva:mcg:4
PLR - PDC - ENTENTE,Listes_CE,plr:pdc:entente:ent:5:PLR:CDP:Agreement:ent:5
RIEN PAS GRAND CHOSE,Listes_CE,de:rien:pour:arriver:a:pas:grand:chose:rien:6:of:nothing:for:reach:a:not:tall:thing:nothing:6
SANTÉ,Listes_CE,sante:san:7:Health:san:7
UDC,Listes_CE,udc:udc:8:udc:udc:8
PROSPÉRITÉ MAÎTRISÉE,Listes_CE,prosperite:maitrisee:prom:9:Prosperity:CONTROLLED:Prom:9
LA LISTE POUR GENÈVE,Listes_CE,la:liste:pour:geneve:lpg:2:the:list:for:geneva:lpg:2
GENÈVE EN MARCHE,Listes_CE,geneve:en:marche:gema:211:Geneva:to:start:gema:211
PBD GENÈVE,Listes_CE,pbd:geneve:le:juste:milieu:pbd:212:pbd:geneva:the:right:medium:PBD:212
VERT'LIBÉRAUX,Listes_CE,vert_liberaux:verl:213:vert_liberaux:verl:213
