value,entity,synonyms
ENSEMBLE À GAUCHE,Listes_GC,ensemble:a:gauche:eag:101
LES VERTS,Listes_GC,les:verts:vert:102
LES SOCIALISTES,Listes_GC,les:socialistes:soc:103
LIBÉRAUX-RADICAUX,Listes_GC,plr:les:liberaux:radicaux:geneve:plr104
DÉMOCRATE-CHRÉTIEN,Listes_GC,parti:democrate:chretien:(pdc):pdc:105
UDC,Listes_GC,udc:udc:106
LALISTE-FEMMES 2018,Listes_GC,laliste:femmes:2018:au:grand:conseil:fem:107
LA LISTE POUR GENÈVE,Listes_GC,la:liste:pour:geneve:lpg:108
GENÈVE EN MARCHE,Listes_GC,geneve:en:marche:gema:109
PBD GENÈVE,Listes_GC,pbd:geneve:le:juste:milieu:pbd:110
MCG,Listes_GC,mcg:mouvement:citoyens:genevois:mcg:111
VERT'LIBÉRAUX,Listes_GC,vert_liberaux:verl:112
ÉGALITÉ ET ÉQUITÉ,Listes_GC,liste:egalite:et:equite:lee:113
