value,entity,synonyms
aire_la_ville,LocalDeVote,aire:la:ville:1
anieres,LocalDeVote,anieres:1
avully,LocalDeVote,avully:1
avusy,LocalDeVote,avusy:1
bardonnex,LocalDeVote,bardonnex:1
bellevue,LocalDeVote,bellevue:1
bernex,LocalDeVote,bernex:1
carouge,LocalDeVote,carouge:1
cartigny,LocalDeVote,cartigny:1
celigny,LocalDeVote,celigny:1
chancy,LocalDeVote,chancy:1
chene_bougeries_centre,LocalDeVote,chene:bougeries:centre:1
conches,LocalDeVote,conches:2
chene_bourg,LocalDeVote,chene:bourg:1
choulex,LocalDeVote,choulex:1
collex_bossy,LocalDeVote,collex:bossy:1
collonge_bellerive,LocalDeVote,collonge:bellerive:1
cologny,LocalDeVote,cologny:1
confignon,LocalDeVote,confignon:1
corsier,LocalDeVote,corsier:1
dardagny,LocalDeVote,dardagny:1
cite_rive,LocalDeVote,cite:rive:1
paquis,LocalDeVote,paquis:2
saint_gervais,LocalDeVote,saint:gervais:3
prairie_delices,LocalDeVote,prairie:delices:4
eaux_vives_lac,LocalDeVote,eaux:vives:lac:5
eaux_vives_frontenex,LocalDeVote,eaux:vives:frontenex:6
florissant_malagnou,LocalDeVote,florissant:malagnou:7
cluse_roseraie,LocalDeVote,cluse:roseraie:8
acacias,LocalDeVote,acacias:9
mail_jonction,LocalDeVote,mail:jonction:10
servette_grand_pre,LocalDeVote,servette:grand:pre:11
prieure_secheron,LocalDeVote,prieure:secheron:12
saint_jean,LocalDeVote,saint:jean:13
les_crets,LocalDeVote,les:crets:14
cropettes_vidollet,LocalDeVote,cropettes:vidollet:15
vieusseux,LocalDeVote,vieusseux:16
champel,LocalDeVote,champel:17
genthod,LocalDeVote,genthod:1
grand_saconnex,LocalDeVote,grand:saconnex:1
gy,LocalDeVote,gy:1
hermance,LocalDeVote,hermance:1
jussy,LocalDeVote,jussy:1
laconnex,LocalDeVote,laconnex:1
grand_lancy,LocalDeVote,grand:lancy:1
petit_lancy,LocalDeVote,petit:lancy:2
meinier,LocalDeVote,meinier:1
meyrin,LocalDeVote,meyrin:1
onex,LocalDeVote,onex:1
perly_certoux,LocalDeVote,perly:certoux:1
plan_les_ouates,LocalDeVote,plan:les:ouates:1
pregny_chambesy,LocalDeVote,pregny:chambesy:1
presinge,LocalDeVote,presinge:1
puplinge,LocalDeVote,puplinge:1
russin,LocalDeVote,russin:1
satigny,LocalDeVote,satigny:1
soral,LocalDeVote,soral:1
thonex,LocalDeVote,thonex:1
troinex,LocalDeVote,troinex:1
vandoeuvres,LocalDeVote,vandoeuvres:1
vernier_village,LocalDeVote,vernier:village:1
chatelaine,LocalDeVote,chatelaine:2
aire_le_lignon,LocalDeVote,aire:le:lignon:3
les_avanchets,LocalDeVote,les:avanchets:4
versoix,LocalDeVote,versoix:1
veyrier,LocalDeVote,veyrier:1
suisses_de_l_etranger,LocalDeVote,suisses:de:l:etranger:1
total_canton,LocalDeVote,total:canton:0
